Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.3245E+03 .8269E+00 .3329E+00 .2018E+00 .5170E+00
.3250E+03 .7845E+00 .3056E+00 .1752E+00 .4647E+00
.3255E+03 .9417E+00 .3783E+00 .2251E+00 .5834E+00
.3260E+03 .1053E+01 .4403E+00 .2635E+00 .6805E+00
.3265E+03 .9975E+00 .4286E+00 .2569E+00 .6628E+00
.3270E+03 .1010E+01 .4327E+00 .2569E+00 .6667E+00
.3275E+03 .9966E+00 .4246E+00 .2493E+00 .6514E+00
.3280E+03 .9535E+00 .3945E+00 .2274E+00 .6011E+00
.3285E+03 .9138E+00 .3951E+00 .2293E+00 .6035E+00
.3290E+03 .1025E+01 .4564E+00 .2658E+00 .6981E+00
.3295E+03 .1140E+01 .5133E+00 .2977E+00 .7838E+00
.3300E+03 .1163E+01 .5232E+00 .3007E+00 .7963E+00
.3305E+03 .9731E+00 .4315E+00 .2445E+00 .6531E+00
.3310E+03 .1006E+01 .4445E+00 .2495E+00 .6705E+00
.3315E+03 .9821E+00 .4427E+00 .2483E+00 .6676E+00
.3320E+03 .1007E+01 .4648E+00 .2611E+00 .7013E+00
.3325E+03 .9727E+00 .4544E+00 .2545E+00 .6849E+00
.3330E+03 .9796E+00 .4574E+00 .2539E+00 .6871E+00
.3335E+03 .9170E+00 .4239E+00 .2323E+00 .6338E+00
.3340E+03 .9423E+00 .4363E+00 .2373E+00 .6505E+00
.3345E+03 .1041E+01 .4915E+00 .2674E+00 .7329E+00
.3350E+03 .9543E+00 .4561E+00 .2475E+00 .6794E+00
.3355E+03 .1073E+01 .5167E+00 .3012E+00 .7906E+00
.3360E+03 .7401E+00 .3579E+00 .2074E+00 .5463E+00
.3365E+03 .9055E+00 .4364E+00 .2318E+00 .6451E+00
.3370E+03 .7531E+00 .3622E+00 .1906E+00 .5337E+00
.3375E+03 .9398E+00 .4527E+00 .2365E+00 .6652E+00
.3380E+03 .8870E+00 .4337E+00 .2263E+00 .6370E+00
.3385E+03 .9911E+00 .4882E+00 .2697E+00 .7321E+00
.3390E+03 .9814E+00 .4860E+00 .2635E+00 .7238E+00
.3395E+03 .9386E+00 .4664E+00 .2537E+00 .6954E+00
.3400E+03 .1134E+01 .5626E+00 .2861E+00 .8189E+00
.3405E+03 .1017E+01 .5068E+00 .2562E+00 .7362E+00
.3410E+03 .9646E+00 .4850E+00 .2571E+00 .7164E+00
.3415E+03 .8886E+00 .4492E+00 .2318E+00 .6573E+00
.3420E+03 .1061E+01 .5383E+00 .2747E+00 .7845E+00
.3425E+03 .9910E+00 .5051E+00 .2551E+00 .7335E+00
.3430E+03 .1085E+01 .5542E+00 .2813E+00 .8062E+00
.3435E+03 .1018E+01 .5211E+00 .2650E+00 .7585E+00
.3440E+03 .7669E+00 .3917E+00 .2083E+00 .5793E+00
.3445E+03 .7520E+00 .3870E+00 .1980E+00 .5645E+00
.3450E+03 .9988E+00 .5175E+00 .2564E+00 .7465E+00
.3455E+03 .1019E+01 .5303E+00 .2590E+00 .7612E+00
.3460E+03 .8646E+00 .4519E+00 .2182E+00 .6462E+00
.3465E+03 .9772E+00 .5127E+00 .2453E+00 .7308E+00
.3470E+03 .1045E+01 .5494E+00 .2634E+00 .7837E+00
.3475E+03 .8420E+00 .4441E+00 .2123E+00 .6330E+00
.3480E+03 .9603E+00 .5087E+00 .2392E+00 .7209E+00
.3485E+03 .9597E+00 .5100E+00 .2370E+00 .7200E+00
.3490E+03 .8882E+00 .4738E+00 .2185E+00 .6672E+00
.3495E+03 .8766E+00 .4692E+00 .2155E+00 .6598E+00
.3500E+03 .1082E+01 .5810E+00 .2649E+00 .8152E+00
.3505E+03 .1139E+01 .6133E+00 .2780E+00 .8589E+00
.3510E+03 .1015E+01 .5478E+00 .2478E+00 .7666E+00
.3515E+03 .9814E+00 .5307E+00 .2420E+00 .7446E+00
.3520E+03 .1054E+01 .5722E+00 .2571E+00 .7990E+00
.3525E+03 .8215E+00 .4477E+00 .1988E+00 .6228E+00
.3530E+03 .1033E+01 .5647E+00 .2486E+00 .7834E+00
.3535E+03 .1103E+01 .6045E+00 .2639E+00 .8365E+00
.3540E+03 .1144E+01 .6283E+00 .2721E+00 .8672E+00
.3545E+03 .1159E+01 .6383E+00 .2748E+00 .8793E+00
.3550E+03 .1153E+01 .6369E+00 .2730E+00 .8762E+00
.3555E+03 .1039E+01 .5761E+00 .2455E+00 .7911E+00
.3560E+03 .1085E+01 .6037E+00 .2556E+00 .8274E+00
.3565E+03 .9252E+00 .5162E+00 .2173E+00 .7062E+00
.3570E+03 .7640E+00 .4272E+00 .1788E+00 .5834E+00
.3575E+03 .9344E+00 .5238E+00 .2179E+00 .7140E+00
.3580E+03 .7396E+00 .4157E+00 .1719E+00 .5656E+00
.3585E+03 .6313E+00 .3558E+00 .1462E+00 .4832E+00
.3590E+03 .8821E+00 .4984E+00 .2037E+00 .6758E+00
.3595E+03 .1123E+01 .6357E+00 .2590E+00 .8611E+00
.3600E+03 .1189E+01 .6748E+00 .2732E+00 .9123E+00
.3605E+03 .9490E+00 .5401E+00 .2172E+00 .7287E+00
.3610E+03 .8633E+00 .4927E+00 .1969E+00 .6635E+00
.3615E+03 .9904E+00 .5672E+00 .2254E+00 .7625E+00
.3620E+03 .8532E+00 .4903E+00 .1938E+00 .6581E+00
.3625E+03 .1177E+01 .6784E+00 .2667E+00 .9092E+00
.3630E+03 .1054E+01 .6093E+00 .2383E+00 .8154E+00
.3635E+03 .9678E+00 .5613E+00 .2184E+00 .7500E+00
.3640E+03 .1181E+01 .6867E+00 .2658E+00 .9161E+00
.3645E+03 .1008E+01 .5873E+00 .2261E+00 .7824E+00
.3650E+03 .1025E+01 .5986E+00 .2293E+00 .7962E+00
.3655E+03 .1284E+01 .7519E+00 .2864E+00 .9985E+00
.3660E+03 .1357E+01 .7970E+00 .3020E+00 .1057E+01
.3665E+03 .1272E+01 .7491E+00 .2823E+00 .9918E+00
.3670E+03 .1237E+01 .7300E+00 .2736E+00 .9650E+00
.3675E+03 .1282E+01 .7580E+00 .2825E+00 .1000E+01
.3680E+03 .1120E+01 .6636E+00 .2460E+00 .8745E+00
.3685E+03 .1128E+01 .6701E+00 .2472E+00 .8819E+00
