Wvlgth,Global_horizn_irradiance
280.0,2.13e-19
280.5,1.666e-19
281.0,1.677e-19
281.5,1.291e-18
282.0,6.288e-18
282.5,1.814e-17
283.0,6.033e-17
283.5,9.86e-17
284.0,1.377e-15
284.5,3.058e-15
285.0,5.188e-15
285.5,2.813e-14
286.0,1.157e-13
286.5,5.081e-13
287.0,1.421e-12
287.5,5.328e-12
288.0,1.656e-11
288.5,6.17e-11
289.0,1.92e-10
289.5,6.655e-10
290.0,2.028e-09
290.5,4.48e-09
291.0,1.044e-08
291.5,3.409e-08
292.0,9.028e-08
292.5,1.403e-07
293.0,3.391e-07
293.5,9.773e-07
294.0,1.764e-06
294.5,3.044e-06
295.0,5.866e-06
295.5,1.345e-05
296.0,2.537e-05
296.5,3.464e-05
297.0,4.589e-05
297.5,0.0001193
298.0,0.0001841
298.5,0.0001824
299.0,0.0003961
299.5,0.0006369
300.0,0.0007137
300.5,0.00102
301.0,0.001818
301.5,0.002847
302.0,0.002319
302.5,0.004328
303.0,0.007325
303.5,0.009052
304.0,0.008345
304.5,0.01177
305.0,0.01649
305.5,0.01801
306.0,0.01716
306.5,0.02075
307.0,0.02876
307.5,0.03593
308.0,0.03769
308.5,0.04697
309.0,0.04128
309.5,0.04497
310.0,0.0442
310.5,0.07092
311.0,0.08737
311.5,0.0837
312.0,0.08037
312.5,0.0953
313.0,0.1021
313.5,0.1005
314.0,0.1215
314.5,0.1033
315.0,0.135
315.5,0.1154
316.0,0.09736
316.5,0.1358
317.0,0.1687
317.5,0.1771
318.0,0.1354
318.5,0.1619
319.0,0.1887
319.5,0.1585
320.0,0.1922
320.5,0.2315
321.0,0.1994
321.5,0.1906
322.0,0.2105
322.5,0.1826
323.0,0.1775
323.5,0.2131
324.0,0.2478
324.5,0.2541
325.0,0.2223
325.5,0.2854
326.0,0.3398
326.5,0.3359
327.0,0.3364
327.5,0.3268
328.0,0.296
328.5,0.3042
329.0,0.3583
329.5,0.4047
330.0,0.4097
330.5,0.3317
331.0,0.3392
331.5,0.3414
332.0,0.364
332.5,0.358
333.0,0.358
333.5,0.327
334.0,0.3351
334.5,0.3824
335.0,0.3572
335.5,0.4194
336.0,0.29
336.5,0.3386
337.0,0.2789
337.5,0.3472
338.0,0.3359
338.5,0.3888
339.0,0.3839
339.5,0.3697
340.0,0.4329
340.5,0.3898
341.0,0.3811
341.5,0.3489
342.0,0.4164
342.5,0.3894
343.0,0.4288
343.5,0.404
344.0,0.3111
344.5,0.3019
345.0,0.3981
345.5,0.4058
346.0,0.3444
346.5,0.3896
347.0,0.4185
347.5,0.3383
348.0,0.385
348.5,0.3845
349.0,0.3564
349.5,0.3528
350.0,0.4361
350.5,0.4597
351.0,0.4106
351.5,0.3997
352.0,0.4287
352.5,0.3341
353.0,0.4204
353.5,0.4489
354.0,0.4654
354.5,0.4722
355.0,0.4709
355.5,0.4255
356.0,0.4453
356.5,0.3802
357.0,0.3142
357.5,0.3846
358.0,0.3048
358.5,0.2605
359.0,0.3645
359.5,0.4648
360.0,0.4926
360.5,0.3936
361.0,0.3586
361.5,0.4124
362.0,0.3562
362.5,0.4925
363.0,0.442
363.5,0.4068
364.0,0.4972
364.5,0.4248
365.0,0.4325
365.5,0.5426
366.0,0.5746
366.5,0.5396
367.0,0.5252
367.5,0.5446
368.0,0.4763
368.5,0.4806
369.0,0.5191
369.5,0.5534
370.0,0.59
370.5,0.4579
371.0,0.4892
371.5,0.612
372.0,0.4061
372.5,0.4868
373.0,0.4951
373.5,0.3221
374.0,0.468
374.5,0.3875
375.0,0.3766
375.5,0.5622
376.0,0.466
376.5,0.4829
377.0,0.5113
377.5,0.5982
378.0,0.6486
378.5,0.6132
379.0,0.5062
379.5,0.4625
380.0,0.4808
380.5,0.5823
381.0,0.5833
381.5,0.4622
382.0,0.4103
382.5,0.3496
