Wvlgth,Difuse_horizn_irradiance
280.0,3.877e-20
280.5,6.316e-19
281.0,2.723e-18
281.5,4.392e-17
282.0,2.385e-16
282.5,6.953e-16
283.0,2.273e-15
283.5,3.595e-15
284.0,4.562e-14
284.5,2.489e-13
285.0,4.607e-13
285.5,2.731e-12
286.0,1.136e-11
286.5,5.3e-11
287.0,1.538e-10
287.5,5.96e-10
288.0,1.327e-09
288.5,4.491e-09
289.0,1.27e-08
289.5,3.995e-08
290.0,1.115e-07
290.5,2.27e-07
291.0,4.874e-07
291.5,1.226e-06
292.0,2.568e-06
292.5,3.331e-06
293.0,6.477e-06
293.5,1.408e-05
294.0,1.975e-05
294.5,3.81e-05
295.0,6.416e-05
295.5,0.0001006
296.0,0.0001731
296.5,0.0002163
297.0,0.0002665
297.5,0.0006245
298.0,0.000882
298.5,0.0008156
299.0,0.001656
299.5,0.00238
300.0,0.002482
300.5,0.003315
301.0,0.005296
301.5,0.007512
302.0,0.005902
302.5,0.01036
303.0,0.01627
303.5,0.01909
304.0,0.01713
304.5,0.02275
305.0,0.02946
305.5,0.03063
306.0,0.02855
306.5,0.03344
307.0,0.04353
307.5,0.0513
308.0,0.05311
308.5,0.06677
309.0,0.05748
309.5,0.0593
310.0,0.05674
310.5,0.08964
311.0,0.108
311.5,0.1022
312.0,0.09408
312.5,0.1083
313.0,0.1141
313.5,0.1132
314.0,0.1325
314.5,0.108
315.0,0.1397
315.5,0.121
316.0,0.09878
316.5,0.1339
317.0,0.1657
317.5,0.1745
318.0,0.1307
318.5,0.151
319.0,0.1726
319.5,0.1481
320.0,0.1797
320.5,0.209
321.0,0.1745
321.5,0.1658
322.0,0.1879
322.5,0.1622
323.0,0.1542
323.5,0.1874
324.0,0.2167
324.5,0.2228
325.0,0.1898
325.5,0.2492
326.0,0.2929
326.5,0.2867
327.0,0.2869
327.5,0.2787
328.0,0.254
328.5,0.2573
329.0,0.2995
329.5,0.3363
330.0,0.3401
330.5,0.2764
331.0,0.2823
331.5,0.2819
332.0,0.2976
332.5,0.2909
333.0,0.2905
333.5,0.2658
334.0,0.2718
334.5,0.3075
335.0,0.2854
335.5,0.3462
336.0,0.2388
336.5,0.2685
337.0,0.221
337.5,0.2745
338.0,0.2636
338.5,0.3133
339.0,0.3067
339.5,0.2957
340.0,0.3355
340.5,0.301
341.0,0.3012
341.5,0.2722
342.0,0.3232
342.5,0.3007
343.0,0.332
343.5,0.3131
344.0,0.2462
344.5,0.2347
345.0,0.3046
345.5,0.3083
346.0,0.2602
346.5,0.293
347.0,0.3151
347.5,0.2544
348.0,0.2871
348.5,0.2851
349.0,0.2632
349.5,0.26
350.0,0.3203
350.5,0.3366
351.0,0.3005
351.5,0.2937
352.0,0.3127
352.5,0.2423
353.0,0.3035
353.5,0.3227
354.0,0.3333
354.5,0.3372
355.0,0.3355
355.5,0.3022
356.0,0.3152
356.5,0.2684
357.0,0.2212
357.5,0.27
358.0,0.2133
358.5,0.1818
359.0,0.2537
359.5,0.323
360.0,0.3412
360.5,0.2717
361.0,0.2467
361.5,0.2829
362.0,0.2437
362.5,0.3359
363.0,0.3006
363.5,0.276
364.0,0.3364
364.5,0.2866
365.0,0.291
365.5,0.3641
366.0,0.3846
366.5,0.3601
367.0,0.3495
367.5,0.3614
368.0,0.3152
368.5,0.3173
369.0,0.3418
369.5,0.3634
370.0,0.3864
370.5,0.2991
371.0,0.3187
371.5,0.3976
372.0,0.2631
372.5,0.3146
373.0,0.3191
373.5,0.2071
374.0,0.3
374.5,0.2478
375.0,0.2402
375.5,0.3576
376.0,0.2957
376.5,0.3056
377.0,0.3227
377.5,0.3766
378.0,0.4073
378.5,0.3841
379.0,0.3162
379.5,0.2881
380.0,0.2988
380.5,0.3609
381.0,0.3607
381.5,0.2851
382.0,0.2524
382.5,0.2145
383.0,0.198
383.5,0.1902
384.0,0.2092
384.5,0.3069
385.0,0.3035
385.5,0.282
386.0,0.2409
386.5,0.3157
387.0,0.2617
387.5,0.2932
388.0,0.27
388.5,0.2663
389.0,0.2867
389.5,0.3464
390.0,0.3468
390.5,0.3183
391.0,0.3738
391.5,0.3803
392.0,0.3195
392.5,0.2854
393.0,0.1584
393.5,0.1148
394.0,0.2331
394.5,0.2956
395.0,0.3598
395.5,0.3646
396.0,0.3153
396.5,0.1839
397.0,0.1377
397.5,0.2793
398.0,0.3901
398.5,0.4022
399.0,0.4344
399.5,0.4319
400.0,0.4474
401.0,0.4621
402.0,0.4852
403.0,0.4587
404.0,0.4494
405.0,0.4472
406.0,0.4378
407.0,0.4288
408.0,0.4434
409.0,0.4723
410.0,0.4106
411.0,0.4427
412.0,0.4731
413.0,0.4593
414.0,0.4628
415.0,0.4618
416.0,0.4678
417.0,0.4543
418.0,0.4439
419.0,0.4477
420.0,0.4438
421.0,0.4622
422.0,0.4374
423.0,0.4254
424.0,0.448
425.0,0.4454
426.0,0.4318
427.0,0.4218
428.0,0.4092
429.0,0.3859
430.0,0.3362
431.0,0.3319
432.0,0.4267
433.0,0.4273
434.0,0.3951
435.0,0.411
436.0,0.4611
437.0,0.4528
438.0,0.4106
439.0,0.423
440.0,0.4346
441.0,0.4486
442.0,0.4793
443.0,0.4653
444.0,0.4732
445.0,0.4613
446.0,0.4384
447.0,0.4718
448.0,0.4774
449.0,0.4772
450.0,0.4886
451.0,0.5048
452.0,0.4844
453.0,0.4539
454.0,0.4719
455.0,0.473
456.0,0.4824
457.0,0.4886
458.0,0.4703
459.0,0.4661
460.0,0.4657
461.0,0.4746
462.0,0.4764
463.0,0.4714
464.0,0.4617
465.0,0.4541
466.0,0.4568
467.0,0.4469
468.0,0.4507
469.0,0.4517
470.0,0.4359
471.0,0.4338
472.0,0.4556
473.0,0.4484
474.0,0.4477
475.0,0.4505
476.0,0.4362
477.0,0.4363
478.0,0.4466
479.0,0.4418
480.0,0.4406
481.0,0.4469
482.0,0.4473
483.0,0.4402
484.0,0.4296
485.0,0.4079
486.0,0.3553
487.0,0.371
488.0,0.4057
489.0,0.4058
490.0,0.4254
491.0,0.4168
492.0,0.3924
493.0,0.404
494.0,0.4067
495.0,0.4089
496.0,0.4101
497.0,0.4153
498.0,0.3948
499.0,0.3988
500.0,0.387
501.0,0.3787
502.0,0.3725
503.0,0.387
504.0,0.3777
505.0,0.3883
506.0,0.3999
507.0,0.3797
508.0,0.3665
509.0,0.3754
510.0,0.3721
511.0,0.3806
512.0,0.3836
513.0,0.3624
514.0,0.3589
515.0,0.3544
516.0,0.3528
517.0,0.3126
518.0,0.3278
519.0,0.3429
520.0,0.3545
521.0,0.3569
522.0,0.3563
523.0,0.3491
524.0,0.3609
525.0,0.3643
526.0,0.347
527.0,0.3262
528.0,0.3441
529.0,0.3615
530.0,0.3553
531.0,0.3596
532.0,0.3463
533.0,0.3351
534.0,0.3438
535.0,0.35
536.0,0.3519
537.0,0.3368
538.0,0.3417
539.0,0.3379
540.0,0.323
541.0,0.3246
542.0,0.3338
543.0,0.3289
544.0,0.3338
545.0,0.3314
546.0,0.3319
547.0,0.33
548.0,0.3247
549.0,0.3247
550.0,0.3277
551.0,0.3226
552.0,0.3238
553.0,0.3169
554.0,0.3232
555.0,0.3227
556.0,0.3173
557.0,0.3064
558.0,0.3031
559.0,0.2963
560.0,0.2991
561.0,0.3022
562.0,0.2991
563.0,0.3063
564.0,0.2971
565.0,0.2935
566.0,0.2882
567.0,0.2928
568.0,0.2897
569.0,0.2832
570.0,0.2818
571.0,0.2786
572.0,0.2852
573.0,0.2874
574.0,0.2857
575.0,0.2797
576.0,0.2761
577.0,0.278
578.0,0.2726
579.0,0.2723
580.0,0.2756
581.0,0.2755
582.0,0.2794
583.0,0.2789
584.0,0.2801
585.0,0.2722
586.0,0.2656
587.0,0.2707
588.0,0.2648
589.0,0.2369
590.0,0.2468
591.0,0.2583
592.0,0.2557
593.0,0.2571
594.0,0.2554
595.0,0.2494
596.0,0.2558
597.0,0.2527
598.0,0.251
599.0,0.2503
600.0,0.2493
601.0,0.2459
602.0,0.2432
603.0,0.246
604.0,0.249
605.0,0.2469
606.0,0.2453
607.0,0.2473
