Wvlgth,Difuse_horizn_irradiance
280.0,2.0039999999999998e-23
280.5,8.523e-22
281.0,4.709e-21
281.5,1.938e-19
282.0,1.726e-18
282.5,5.852e-19
283.0,8.568e-19
283.5,1.236e-18
284.0,1.901e-17
284.5,5.66e-17
285.0,1.209e-16
285.5,9.227e-16
286.0,3.504e-15
286.5,1.557e-14
287.0,4.563e-14
287.5,1.864e-13
288.0,7.693e-13
288.5,2.885e-12
289.0,7.224e-12
289.5,2.26e-11
290.0,6.566e-11
290.5,1.39e-10
291.0,3.146e-10
291.5,9.794e-10
292.0,2.383e-09
292.5,3.103e-09
293.0,7.208e-09
293.5,1.953e-08
294.0,3.256e-08
294.5,5.677e-08
295.0,1.022e-07
295.5,2.557e-07
296.0,4.657e-07
296.5,5.874e-07
297.0,8.244e-07
297.5,2.386e-06
298.0,4.017e-06
298.5,4.251e-06
299.0,9.885e-06
299.5,1.843e-05
300.0,2.091e-05
300.5,3.254e-05
301.0,6.696e-05
301.5,0.0001216
302.0,0.0001118
302.5,0.0002767
303.0,0.000516
303.5,0.000658
304.0,0.0006127
304.5,0.0009461
305.0,0.001583
305.5,0.001922
306.0,0.001897
306.5,0.002456
307.0,0.003995
307.5,0.005796
308.0,0.00616
308.5,0.007589
309.0,0.007168
309.5,0.009957
310.0,0.01017
310.5,0.01656
311.0,0.02108
311.5,0.0204
312.0,0.02115
312.5,0.02632
313.0,0.02881
313.5,0.02743
314.0,0.03536
314.5,0.0327
315.0,0.04307
315.5,0.03502
316.0,0.03171
316.5,0.04692
317.0,0.05784
317.5,0.05929
318.0,0.04721
318.5,0.0612
319.0,0.07405
319.5,0.05773
320.0,0.06905
320.5,0.09046
321.0,0.08396
321.5,0.08043
322.0,0.08117
322.5,0.07058
323.0,0.07235
323.5,0.09206
324.0,0.1074
324.5,0.1073
325.0,0.08984
325.5,0.1182
326.0,0.1463
326.5,0.1482
327.0,0.1461
327.5,0.1395
328.0,0.1216
328.5,0.1304
329.0,0.1589
329.5,0.1807
330.0,0.1805
330.5,0.1415
331.0,0.1429
331.5,0.1466
332.0,0.1608
332.5,0.1598
333.0,0.1579
333.5,0.1404
334.0,0.1431
334.5,0.1672
335.0,0.158
335.5,0.1864
336.0,0.1286
336.5,0.1472
337.0,0.1195
337.5,0.1477
338.0,0.1457
338.5,0.1698
339.0,0.1669
339.5,0.1604
340.0,0.1857
340.5,0.1671
341.0,0.164
341.5,0.1493
342.0,0.1776
342.5,0.1655
343.0,0.182
343.5,0.1713
344.0,0.1252
344.5,0.1277
345.0,0.1672
345.5,0.1697
346.0,0.1436
346.5,0.1619
347.0,0.1737
347.5,0.1401
348.0,0.1588
348.5,0.158
349.0,0.146
349.5,0.1441
350.0,0.1776
350.5,0.1867
351.0,0.1664
351.5,0.1618
352.0,0.1728
352.5,0.1342
353.0,0.1684
353.5,0.1793
354.0,0.1853
354.5,0.1875
355.0,0.1864
355.5,0.168
356.0,0.1753
356.5,0.1492
357.0,0.123
357.5,0.1501
358.0,0.1186
358.5,0.1011
359.0,0.1411
359.5,0.1793
360.0,0.1895
360.5,0.151
361.0,0.1372
361.5,0.1573
362.0,0.1355
362.5,0.1869
363.0,0.1672
363.5,0.1535
364.0,0.1871
364.5,0.1594
365.0,0.1618
365.5,0.2024
366.0,0.2138
366.5,0.2002
367.0,0.1943
367.5,0.2009
368.0,0.1752
368.5,0.1763
369.0,0.1898
369.5,0.2018
370.0,0.2146
370.5,0.1661
371.0,0.177
371.5,0.2207
372.0,0.1461
372.5,0.1746
373.0,0.1771
373.5,0.1149
374.0,0.1664
374.5,0.1374
375.0,0.1332
375.5,0.1983
376.0,0.1639
376.5,0.1694
377.0,0.1788
377.5,0.2086
378.0,0.2256
378.5,0.2127
379.0,0.1751
379.5,0.1595
380.0,0.1654
380.5,0.1997
381.0,0.1995
381.5,0.1576
382.0,0.1396
382.5,0.1186
383.0,0.1095
383.5,0.1051
384.0,0.1156
384.5,0.1695
385.0,0.1676
385.5,0.1557
386.0,0.133
386.5,0.1742
387.0,0.1444
387.5,0.1617
388.0,0.1489
388.5,0.1468
389.0,0.158
389.5,0.1908
390.0,0.191
390.5,0.1753
391.0,0.2058
391.5,0.2093
392.0,0.1758
392.5,0.157
393.0,0.0871
393.5,0.06314
394.0,0.1281
394.5,0.1624
395.0,0.1976
395.5,0.2002
396.0,0.1731
396.5,0.1009
397.0,0.07553
397.5,0.1532
398.0,0.2139
398.5,0.2205
399.0,0.2381
399.5,0.2367
400.0,0.2451
401.0,0.2505
402.0,0.2629
403.0,0.2484
404.0,0.2433
405.0,0.242
406.0,0.2368
407.0,0.2317
408.0,0.2394
409.0,0.2549
410.0,0.2215
411.0,0.2386
412.0,0.2549
413.0,0.2474
414.0,0.2491
415.0,0.2483
416.0,0.2513
417.0,0.2439
418.0,0.2382
419.0,0.2401
420.0,0.2378
421.0,0.2475
422.0,0.234
423.0,0.2273
424.0,0.2391
425.0,0.2375
426.0,0.23
427.0,0.2246
428.0,0.2178
429.0,0.2052
430.0,0.1787
431.0,0.1762
432.0,0.2263
433.0,0.2263
434.0,0.2091
435.0,0.2174
436.0,0.2437
437.0,0.2391
438.0,0.2165
439.0,0.2226
440.0,0.2284
441.0,0.2354
442.0,0.2511
443.0,0.2437
444.0,0.2476
445.0,0.2413
446.0,0.2293
447.0,0.2465
448.0,0.2491
449.0,0.2486
450.0,0.2541
451.0,0.2622
452.0,0.2514
453.0,0.2353
454.0,0.2444
455.0,0.2445
456.0,0.249
457.0,0.2516
458.0,0.2416
459.0,0.2387
