Wvlgth,Global_horizn_irradiance
280.0,9.258000000000001e-20
280.5,1.586e-18
281.0,7.087e-18
281.5,1.204e-16
282.0,6.826e-16
282.5,2.069e-15
283.0,7.051e-15
283.5,1.157e-14
284.0,1.549e-13
284.5,5.414e-13
285.0,9.718e-13
285.5,5.498e-12
286.0,2.275e-11
286.5,1.017e-10
287.0,2.866e-10
287.5,1.052e-09
288.0,2.76e-09
288.5,9.243e-09
289.0,2.578e-08
289.5,7.924e-08
290.0,2.18e-07
290.5,4.399e-07
291.0,9.243e-07
291.5,2.377e-06
292.0,5.009e-06
292.5,6.672e-06
293.0,1.328e-05
293.5,2.926e-05
294.0,4.251e-05
294.5,7.491e-05
295.0,0.0001221
295.5,0.0002224
296.0,0.0003735
296.5,0.0004557
297.0,0.0005512
297.5,0.001255
298.0,0.00173
298.5,0.001573
299.0,0.003141
299.5,0.004383
300.0,0.004499
300.5,0.005924
301.0,0.009246
301.5,0.01291
302.0,0.01021
302.5,0.01806
303.0,0.0286
303.5,0.03361
304.0,0.03023
304.5,0.04014
305.0,0.05188
305.5,0.05393
306.0,0.05036
306.5,0.05903
307.0,0.07666
307.5,0.09014
308.0,0.09351
308.5,0.1118
309.0,0.09684
309.5,0.1011
310.0,0.0974
310.5,0.1546
311.0,0.1873
311.5,0.178
312.0,0.165
312.5,0.1911
313.0,0.202
313.5,0.2009
314.0,0.2363
314.5,0.1937
315.0,0.2511
315.5,0.2182
316.0,0.1787
316.5,0.243
317.0,0.3018
317.5,0.3188
318.0,0.2395
318.5,0.2772
319.0,0.3176
319.5,0.2736
320.0,0.333
320.5,0.388
321.0,0.3244
321.5,0.309
322.0,0.3519
322.5,0.3047
323.0,0.2901
323.5,0.3425
324.0,0.3968
324.5,0.4102
325.0,0.3613
325.5,0.4623
326.0,0.5421
326.5,0.53
327.0,0.5326
327.5,0.5198
328.0,0.4774
328.5,0.4822
329.0,0.5602
329.5,0.63
330.0,0.6395
330.5,0.523
331.0,0.5365
331.5,0.5356
332.0,0.5647
332.5,0.5525
333.0,0.5539
333.5,0.5097
334.0,0.523
334.5,0.5912
335.0,0.5491
335.5,0.6453
336.0,0.4461
336.5,0.5213
337.0,0.4309
337.5,0.537
338.0,0.5156
338.5,0.5973
339.0,0.5897
339.5,0.5675
340.0,0.6634
340.5,0.5967
341.0,0.5845
341.5,0.5349
342.0,0.6382
342.5,0.5965
343.0,0.6568
343.5,0.6186
344.0,0.476
344.5,0.4619
345.0,0.6088
345.5,0.6202
346.0,0.5263
346.5,0.5951
347.0,0.639
347.5,0.5164
348.0,0.5875
348.5,0.5864
349.0,0.5434
349.5,0.5377
350.0,0.6643
350.5,0.7001
351.0,0.6253
351.5,0.6086
352.0,0.6524
352.5,0.5083
353.0,0.6393
353.5,0.6824
354.0,0.7074
354.5,0.7174
355.0,0.7152
355.5,0.6459
356.0,0.6756
356.5,0.5768
357.0,0.4766
357.5,0.5833
358.0,0.4621
358.5,0.3948
359.0,0.5523
359.5,0.7041
360.0,0.7461
360.5,0.5959
361.0,0.5427
361.5,0.6238
362.0,0.5386
362.5,0.7443
363.0,0.6676
363.5,0.6143
364.0,0.7505
364.5,0.641
365.0,0.6525
365.5,0.8183
366.0,0.8664
366.5,0.8132
367.0,0.7913
367.5,0.8205
368.0,0.7173
368.5,0.7236
369.0,0.7812
369.5,0.8326
370.0,0.8874
370.5,0.6884
371.0,0.7353
371.5,0.9195
372.0,0.6101
372.5,0.7311
373.0,0.7433
373.5,0.4834
374.0,0.7021
374.5,0.5812
375.0,0.5647
375.5,0.8429
376.0,0.6985
376.5,0.7237
377.0,0.7659
377.5,0.8959
378.0,0.9711
378.5,0.918
379.0,0.7576
379.5,0.6921
380.0,0.7194
380.5,0.8709
381.0,0.8722
381.5,0.6908
382.0,0.613
382.5,0.5221
383.0,0.4831
383.5,0.465
384.0,0.5126
384.5,0.7537
385.0,0.7471
385.5,0.6955
386.0,0.5956
386.5,0.782
387.0,0.6497
387.5,0.7296
388.0,0.6735
388.5,0.6655
389.0,0.7182
389.5,0.8696
390.0,0.8725
390.5,0.8027
391.0,0.9446
391.5,0.9632
392.0,0.8111
392.5,0.7259
393.0,0.4038
393.5,0.2934
394.0,0.5968
394.5,0.7585
395.0,0.9252
395.5,0.9396
396.0,0.8144
396.5,0.4759
397.0,0.357
397.5,0.7259
398.0,1.016
398.5,1.05
399.0,1.137
399.5,1.132
400.0,1.176
401.0,1.211
402.0,1.277
403.0,1.212
404.0,1.193
405.0,1.192
406.0,1.171
407.0,1.152
408.0,1.196
409.0,1.279
410.0,1.117
411.0,1.209
412.0,1.297
413.0,1.264
414.0,1.279
415.0,1.281
416.0,1.302
417.0,1.27
418.0,1.246
419.0,1.261
420.0,1.255
421.0,1.312
422.0,1.247
423.0,1.217
424.0,1.287
425.0,1.284
426.0,1.249
427.0,1.225
428.0,1.193
429.0,1.129
430.0,0.9872
431.0,0.9786
432.0,1.262
433.0,1.269
434.0,1.178
435.0,1.23
436.0,1.384
437.0,1.364
438.0,1.241
439.0,1.284
440.0,1.324
441.0,1.371
442.0,1.47
443.0,1.433
444.0,1.462
445.0,1.431
446.0,1.364
447.0,1.473
448.0,1.496
449.0,1.5
450.0,1.541
451.0,1.598
452.0,1.539
453.0,1.447
454.0,1.509
455.0,1.518
456.0,1.553
457.0,1.579
458.0,1.525
459.0,1.517
460.0,1.521
461.0,1.555
462.0,1.566
463.0,1.555
464.0,1.527
465.0,1.507
466.0,1.52
467.0,1.493
468.0,1.511
469.0,1.519
470.0,1.47
471.0,1.468
472.0,1.547
473.0,1.528
474.0,1.531
475.0,1.546
476.0,1.502
477.0,1.508
478.0,1.549
479.0,1.537
480.0,1.537
481.0,1.564
482.0,1.57
483.0,1.549
484.0,1.516
485.0,1.443
486.0,1.261
487.0,1.32
488.0,1.448
489.0,1.453
490.0,1.528
491.0,1.501
492.0,1.417
493.0,1.463
494.0,1.478
495.0,1.49
496.0,1.499
497.0,1.522
498.0,1.451
499.0,1.47
500.0,1.429
501.0,1.403
502.0,1.386
503.0,1.445
504.0,1.417
505.0,1.459
506.0,1.508
507.0,1.435
508.0,1.389
509.0,1.426
510.0,1.417
511.0,1.453
512.0,1.469
513.0,1.391
514.0,1.381
515.0,1.367
516.0,1.364
517.0,1.212
518.0,1.275
519.0,1.337
520.0,1.386
521.0,1.4
522.0,1.401
523.0,1.377
524.0,1.428
525.0,1.446
526.0,1.382
527.0,1.303
528.0,1.379
529.0,1.454
530.0,1.433
531.0,1.455
532.0,1.406
533.0,1.364
534.0,1.404
535.0,1.434
536.0,1.446
537.0,1.388
538.0,1.413
539.0,1.401
540.0,1.344
541.0,1.355
542.0,1.399
543.0,1.382
544.0,1.408
545.0,1.402
546.0,1.409
547.0,1.406
548.0,1.388
549.0,1.392
550.0,1.409
551.0,1.392
552.0,1.401
553.0,1.376
554.0,1.409
555.0,1.411
556.0,1.393
557.0,1.35
558.0,1.34
559.0,1.315
560.0,1.333
561.0,1.351
562.0,1.342
563.0,1.38
564.0,1.344
565.0,1.333
566.0,1.314
567.0,1.34
568.0,1.332
569.0,1.309
570.0,1.307
571.0,1.296
572.0,1.333
573.0,1.348
574.0,1.345
575.0,1.322
576.0,1.309
577.0,1.323
578.0,1.301
579.0,1.302
580.0,1.321
581.0,1.324
582.0,1.346
583.0,1.346
584.0,1.356
585.0,1.322
586.0,1.294
587.0,1.324
588.0,1.302
589.0,1.175
590.0,1.227
591.0,1.285
592.0,1.278
593.0,1.287
594.0,1.283
595.0,1.258
596.0,1.289
597.0,1.279
598.0,1.271
599.0,1.271
600.0,1.268
601.0,1.254
602.0,1.244
603.0,1.262
604.0,1.282
605.0,1.274
606.0,1.27
607.0,1.282
608.0,1.268
609.0,1.27
610.0,1.259
611.0,1.266
612.0,1.261
613.0,1.245
614.0,1.227
615.0,1.253
616.0,1.211
617.0,1.208
618.0,1.254
619.0,1.241
620.0,1.248
621.0,1.249
622.0,1.227
623.0,1.201
624.0,1.184
625.0,1.189
626.0,1.209
627.0,1.227
628.0,1.185
629.0,1.213
630.0,1.187
631.0,1.203
632.0,1.189
633.0,1.222
634.0,1.207
635.0,1.224
636.0,1.204
637.0,1.222
638.0,1.231
639.0,1.216
640.0,1.204
641.0,1.202
642.0,1.196
643.0,1.212
644.0,1.207
645.0,1.21
646.0,1.189
647.0,1.187
648.0,1.192
649.0,1.169
650.0,1.159
651.0,1.206
652.0,1.176
653.0,1.19
654.0,1.175
655.0,1.141
656.0,1.004
657.0,1.03
658.0,1.149
659.0,1.152
660.0,1.15
661.0,1.147
662.0,1.143
663.0,1.125
664.0,1.144
665.0,1.147
666.0,1.152
667.0,1.153
668.0,1.153
669.0,1.171
670.0,1.166
671.0,1.166
672.0,1.156
673.0,1.173
674.0,1.168
675.0,1.157
676.0,1.165
677.0,1.153
678.0,1.155
679.0,1.137
680.0,1.146
681.0,1.139
682.0,1.138
683.0,1.136
684.0,1.131
685.0,1.14
686.0,1.134
687.0,0.9258
688.0,0.9984
689.0,0.9995
690.0,1.021
691.0,1.045
692.0,1.062
693.0,1.062
694.0,1.062
695.0,1.082
696.0,1.087
697.0,1.116
698.0,1.1
699.0,1.098
700.0,1.085
701.0,1.081
702.0,1.081
703.0,1.084
704.0,1.105
705.0,1.109
706.0,1.103
707.0,1.103
708.0,1.106
709.0,1.101
710.0,1.105
711.0,1.102
712.0,1.096
713.0,1.088
714.0,1.093
715.0,1.067
716.0,1.072
717.0,1.012
718.0,0.9619
719.0,0.8998
720.0,0.9411
721.0,0.9794
722.0,1.053
723.0,1.018
724.0,0.9594
725.0,0.956
726.0,0.9839
727.0,0.9863
728.0,0.9559
729.0,0.9588
730.0,1.005
731.0,0.9747
732.0,1.01
733.0,1.037
734.0,1.054
735.0,1.036
736.0,1.035
737.0,1.041
738.0,1.039
739.0,1.02
740.0,1.041
741.0,1.027
742.0,1.025
743.0,1.05
744.0,1.045
745.0,1.044
746.0,1.049
747.0,1.051
748.0,1.049
749.0,1.037
750.0,1.036
751.0,1.026
752.0,1.03
753.0,1.036
754.0,1.038
755.0,1.033
756.0,1.032
757.0,1.034
758.0,1.021
759.0,1.01
760.0,0.4025
761.0,0.2901
762.0,0.7075
763.0,0.4993
764.0,0.6144
765.0,0.7082
766.0,0.7711
767.0,0.8837
768.0,0.9537
769.0,0.9594
770.0,0.9762
771.0,0.9772
772.0,0.9771
773.0,0.9834
774.0,0.9781
775.0,0.9703
776.0,0.9819
777.0,0.9688
778.0,0.963
779.0,0.9639
780.0,0.9583
781.0,0.9592
782.0,0.9651
783.0,0.9482
784.0,0.9525
785.0,0.9464
786.0,0.9575
787.0,0.9488
788.0,0.941
789.0,0.9431
790.0,0.9305
791.0,0.9266
792.0,0.9183
793.0,0.9048
794.0,0.9064
795.0,0.9251
796.0,0.9138
797.0,0.9149
798.0,0.9259
799.0,0.9234
800.0,0.9118
801.0,0.9119
802.0,0.9089
803.0,0.9039
804.0,0.9034
805.0,0.8958
806.0,0.9136
807.0,0.9044
808.0,0.904
809.0,0.8926
