Wvlgth,Difuse_horizn_irradiance
280.0,1.648e-24
280.5,7.298e-23
281.0,4.0949999999999996e-22
281.5,1.753e-20
282.0,1.6e-19
282.5,5.204e-19
283.0,4.888e-19
283.5,6.839e-19
284.0,1.03e-17
284.5,3.098e-17
285.0,6.714e-17
285.5,5.094e-16
286.0,1.9e-15
286.5,8.339e-15
287.0,2.449e-14
287.5,1.01e-13
288.0,4.231e-13
288.5,1.604e-12
289.0,4.256e-12
289.5,1.253e-11
290.0,3.546e-11
290.5,7.408e-11
291.0,1.661e-10
291.5,5.144e-10
292.0,1.252e-09
292.5,1.622e-09
293.0,3.615e-09
293.5,9.319e-09
294.0,1.511e-08
294.5,2.588e-08
295.0,4.557e-08
295.5,1.112e-07
296.0,1.997e-07
296.5,2.071e-07
297.0,2.839e-07
297.5,7.757e-07
298.0,1.234e-06
298.5,1.243e-06
299.0,2.739e-06
299.5,4.566e-06
300.0,4.859e-06
300.5,6.978e-06
301.0,1.237e-05
301.5,1.916e-05
302.0,1.608e-05
302.5,3.199e-05
303.0,5.853e-05
303.5,7.378e-05
304.0,6.835e-05
304.5,0.0001057
305.0,0.0001811
305.5,0.0002235
306.0,0.0002222
306.5,0.0002912
307.0,0.0004863
307.5,0.0007247
308.0,0.000774
308.5,0.0009671
309.0,0.0009241
309.5,0.001614
310.0,0.001766
310.5,0.002974
311.0,0.004005
311.5,0.003971
312.0,0.004639
312.5,0.006241
313.0,0.007112
313.5,0.006521
314.0,0.009233
314.5,0.009643
315.0,0.01297
315.5,0.009947
316.0,0.009942
316.5,0.016
317.0,0.01969
317.5,0.01972
318.0,0.01664
318.5,0.02405
319.0,0.03072
319.5,0.02196
320.0,0.02595
320.5,0.03798
321.0,0.03891
321.5,0.03764
322.0,0.03421
322.5,0.02995
323.0,0.03293
323.5,0.04605
324.0,0.05442
324.5,0.0527
325.0,0.04148
325.5,0.05777
326.0,0.07509
326.5,0.07923
327.0,0.077
327.5,0.07225
328.0,0.06041
328.5,0.06845
329.0,0.08776
329.5,0.1014
330.0,0.1001
330.5,0.07561
331.0,0.07544
331.5,0.07979
332.0,0.09125
332.5,0.09245
333.0,0.09046
333.5,0.07811
334.0,0.07935
334.5,0.09603
335.0,0.09265
335.5,0.1096
336.0,0.07571
336.5,0.08575
337.0,0.06869
337.5,0.08461
338.0,0.08594
338.5,0.101
339.0,0.09979
339.5,0.09576
340.0,0.1101
340.5,0.09951
341.0,0.09846
341.5,0.09041
342.0,0.1079
342.5,0.1009
343.0,0.1106
343.5,0.1038
344.0,0.07529
344.5,0.07711
345.0,0.102
345.5,0.1041
346.0,0.08835
346.5,0.09991
347.0,0.1069
347.5,0.08618
348.0,0.09825
348.5,0.09815
349.0,0.09094
349.5,0.08983
350.0,0.1109
350.5,0.1167
351.0,0.1039
351.5,0.1006
352.0,0.108
352.5,0.08419
353.0,0.1059
353.5,0.113
354.0,0.1171
354.5,0.1186
355.0,0.118
355.5,0.1065
356.0,0.1114
356.5,0.09494
357.0,0.07832
357.5,0.09575
358.0,0.07579
358.5,0.06468
359.0,0.09031
359.5,0.1148
360.0,0.1215
360.5,0.09701
361.0,0.08828
361.5,0.1014
362.0,0.0875
362.5,0.1208
363.0,0.1083
363.5,0.09948
364.0,0.1214
364.5,0.1035
365.0,0.1052
365.5,0.1318
366.0,0.1394
366.5,0.1307
367.0,0.127
367.5,0.1315
368.0,0.1148
368.5,0.1157
369.0,0.1247
369.5,0.1328
370.0,0.1414
370.5,0.1096
371.0,0.1169
371.5,0.146
372.0,0.09671
372.5,0.1158
373.0,0.1175
373.5,0.07633
374.0,0.1107
374.5,0.09153
375.0,0.08883
375.5,0.1324
376.0,0.1096
376.5,0.1134
377.0,0.1198
377.5,0.14
378.0,0.1515
378.5,0.143
379.0,0.1179
379.5,0.1075
380.0,0.1116
380.5,0.1349
381.0,0.1349
381.5,0.1067
382.0,0.0946
382.5,0.08048
383.0,0.07436
383.5,0.07148
384.0,0.0787
384.5,0.1156
385.0,0.1144
385.5,0.1064
386.0,0.09096
386.5,0.1193
387.0,0.09896
387.5,0.111
388.0,0.1023
388.5,0.101
389.0,0.1088
389.5,0.1316
390.0,0.1318
390.5,0.1211
391.0,0.1423
391.5,0.1449
392.0,0.1218
392.5,0.1089
393.0,0.06049
393.5,0.0439
394.0,0.08917
394.5,0.1132
395.0,0.1378
395.5,0.1398
396.0,0.121
396.5,0.07061
397.0,0.0529
397.5,0.1074
398.0,0.1502
398.5,0.1549
399.0,0.1675
399.5,0.1666
400.0,0.1727
401.0,0.176
402.0,0.1851
403.0,0.1752
404.0,0.1719
405.0,0.1713
406.0,0.168
407.0,0.1646
408.0,0.1704
409.0,0.1817
410.0,0.1582
411.0,0.1708
412.0,0.1828
413.0,0.1777
414.0,0.1792
415.0,0.179
416.0,0.1814
417.0,0.1763
418.0,0.1725
419.0,0.1742
420.0,0.1728
421.0,0.1801
422.0,0.1705
423.0,0.1659
424.0,0.1747
425.0,0.1738
426.0,0.1686
427.0,0.1649
428.0,0.1602
429.0,0.1512
430.0,0.1318
431.0,0.1302
432.0,0.1673
433.0,0.1676
434.0,0.1551
435.0,0.1615
436.0,0.1813
437.0,0.178
438.0,0.1613
439.0,0.1661
440.0,0.1705
441.0,0.1758
442.0,0.1878
443.0,0.1825
444.0,0.1857
445.0,0.1813
446.0,0.1726
447.0,0.1858
448.0,0.1879
449.0,0.1877
450.0,0.192
451.0,0.1983
452.0,0.1904
453.0,0.1785
454.0,0.1857
455.0,0.1859
456.0,0.1894
457.0,0.1915
458.0,0.1839
459.0,0.1817
460.0,0.1811
461.0,0.1843
462.0,0.1851
463.0,0.1834
464.0,0.18
465.0,0.1774
466.0,0.1785
467.0,0.1745
468.0,0.1757
469.0,0.1756
470.0,0.1693
471.0,0.1684
472.0,0.1768
473.0,0.174
474.0,0.1735
475.0,0.1742
476.0,0.168
477.0,0.1674
478.0,0.1707
479.0,0.168
480.0,0.1668
481.0,0.1686
482.0,0.1684
483.0,0.1657
484.0,0.162
485.0,0.1541
486.0,0.1345
487.0,0.1406
488.0,0.1536
489.0,0.1533
490.0,0.1603
491.0,0.1567
492.0,0.1473
493.0,0.1516
494.0,0.1525
495.0,0.1531
496.0,0.1532
497.0,0.1546
498.0,0.1463
499.0,0.1469
500.0,0.1418
501.0,0.138
502.0,0.135
503.0,0.1395
504.0,0.1361
505.0,0.1391
506.0,0.1432
507.0,0.1361
508.0,0.1315
509.0,0.1348
510.0,0.1337
511.0,0.1367
512.0,0.1376
513.0,0.1297
514.0,0.1281
515.0,0.1262
516.0,0.1253
517.0,0.1108
518.0,0.116
519.0,0.1211
520.0,0.1249
521.0,0.1253
522.0,0.1246
523.0,0.1218
524.0,0.1253
525.0,0.1259
526.0,0.1193
527.0,0.1115
528.0,0.117
529.0,0.1224
530.0,0.1198
531.0,0.1208
532.0,0.116
533.0,0.112
534.0,0.1148
535.0,0.1169
536.0,0.1175
537.0,0.1125
538.0,0.114
539.0,0.1126
540.0,0.1074
541.0,0.1078
542.0,0.1105
543.0,0.1084
544.0,0.1098
545.0,0.1088
546.0,0.1088
547.0,0.1078
548.0,0.1059
549.0,0.1057
550.0,0.1065
551.0,0.1047
552.0,0.1049
553.0,0.1024
554.0,0.1043
555.0,0.1038
556.0,0.1018
557.0,0.09798
558.0,0.09649
559.0,0.09392
560.0,0.0944
561.0,0.09496
562.0,0.09355
563.0,0.09544
564.0,0.09225
565.0,0.09088
566.0,0.08902
567.0,0.09018
568.0,0.08909
569.0,0.08717
570.0,0.08638
571.0,0.08498
572.0,0.08693
573.0,0.08743
574.0,0.08681
575.0,0.08497
576.0,0.08392
577.0,0.08459
578.0,0.08302
579.0,0.08303
580.0,0.08421
581.0,0.08432
582.0,0.08568
583.0,0.08565
584.0,0.08615
585.0,0.08378
586.0,0.08182
587.0,0.08349
588.0,0.08206
589.0,0.07429
590.0,0.07723
591.0,0.08024
592.0,0.07952
593.0,0.07939
594.0,0.07867
595.0,0.07673
596.0,0.07766
597.0,0.07655
598.0,0.07548
599.0,0.07489
600.0,0.0742
601.0,0.07293
602.0,0.07205
603.0,0.07283
604.0,0.07375
605.0,0.07323
606.0,0.07297
607.0,0.07378
608.0,0.07303
609.0,0.07321
610.0,0.07266
611.0,0.07312
612.0,0.07292
613.0,0.072
614.0,0.07104
615.0,0.07262
616.0,0.07023
617.0,0.07007
618.0,0.0727
619.0,0.07191
620.0,0.07223
621.0,0.07207
622.0,0.07046
623.0,0.06868
624.0,0.06776
625.0,0.06812
626.0,0.06928
627.0,0.07029
628.0,0.06702
629.0,0.06917
630.0,0.0675
631.0,0.06871
632.0,0.06817
633.0,0.07013
634.0,0.06927
635.0,0.07029
636.0,0.06918
637.0,0.07019
638.0,0.07068
639.0,0.06991
640.0,0.06922
641.0,0.06917
642.0,0.06878
643.0,0.06974
644.0,0.06941
645.0,0.06962
646.0,0.06849
647.0,0.06864
648.0,0.0691
649.0,0.06769
650.0,0.06668
651.0,0.06923
652.0,0.06799
653.0,0.06826
654.0,0.06727
655.0,0.06548
656.0,0.05744
657.0,0.05888
658.0,0.06549
659.0,0.06546
660.0,0.06513
661.0,0.06449
662.0,0.06381
663.0,0.06288
664.0,0.0642
665.0,0.06456
666.0,0.06491
667.0,0.06506
668.0,0.06512
669.0,0.06614
670.0,0.06581
671.0,0.06575
672.0,0.06514
673.0,0.06609
674.0,0.06579
675.0,0.06513
676.0,0.0655
677.0,0.06477
678.0,0.06486
679.0,0.06375
680.0,0.0642
681.0,0.06373
682.0,0.06359
683.0,0.06341
684.0,0.06305
685.0,0.06351
686.0,0.06312
687.0,0.04712
688.0,0.05257
689.0,0.05267
690.0,0.05442
691.0,0.05645
692.0,0.05819
693.0,0.05922
694.0,0.06001
695.0,0.06104
696.0,0.06149
697.0,0.06235
698.0,0.06152
699.0,0.06189
700.0,0.0612
701.0,0.06107
