Wvlgth,Global_horizn_irradiance
280.0,5.959e-24
280.5,2.592e-22
281.0,1.4430000000000001e-21
281.5,6.069e-20
282.0,5.473e-19
282.5,4.54e-19
283.0,6.288e-19
283.5,9.044e-19
284.0,1.407e-17
284.5,4.222e-17
285.0,9.105e-17
285.5,5.88e-16
286.0,2.273e-15
286.5,1.037e-14
287.0,3.083e-14
287.5,1.279e-13
288.0,5.371e-13
288.5,2.03e-12
289.0,5.472e-12
289.5,1.664e-11
290.0,4.768e-11
290.5,1.001e-10
291.0,2.252e-10
291.5,6.983e-10
292.0,1.696e-09
292.5,2.164e-09
293.0,4.887e-09
293.5,1.28e-08
294.0,2.089e-08
294.5,3.726e-08
295.0,6.611e-08
295.5,1.626e-07
296.0,2.933e-07
296.5,3.082e-07
297.0,4.327e-07
297.5,1.231e-06
298.0,2.036e-06
298.5,2.121e-06
299.0,4.844e-06
299.5,8.678e-06
300.0,9.614e-06
300.5,1.45e-05
301.0,2.801e-05
301.5,4.725e-05
302.0,4.149e-05
302.5,9.141e-05
303.0,0.000177
303.5,0.0002314
304.0,0.0002184
304.5,0.0003517
305.0,0.0006288
305.5,0.000797
306.0,0.0008007
306.5,0.001067
307.0,0.001846
307.5,0.002842
308.0,0.003054
308.5,0.003881
309.0,0.003759
309.5,0.005472
310.0,0.005796
310.5,0.009615
311.0,0.01261
311.5,0.01237
312.0,0.0136
312.5,0.01758
313.0,0.01964
313.5,0.01843
314.0,0.02483
314.5,0.02424
315.0,0.03228
315.5,0.02569
316.0,0.02429
316.5,0.03726
317.0,0.04602
317.5,0.04687
318.0,0.03827
318.5,0.05179
319.0,0.06406
319.5,0.04854
320.0,0.05796
320.5,0.0792
321.0,0.07617
321.5,0.0734
322.0,0.07174
322.5,0.0627
323.0,0.06597
323.5,0.08618
324.0,0.1013
324.5,0.1003
325.0,0.08319
325.5,0.1117
326.0,0.14
326.5,0.1441
327.0,0.1419
327.5,0.1351
328.0,0.1171
328.5,0.1275
329.0,0.1581
329.5,0.1811
330.0,0.1809
330.5,0.1407
331.0,0.1419
331.5,0.1474
332.0,0.164
332.5,0.1643
333.0,0.1624
333.5,0.1436
334.0,0.1467
334.5,0.1735
335.0,0.1653
335.5,0.1937
336.0,0.134
336.5,0.1551
337.0,0.1258
337.5,0.1559
338.0,0.1553
338.5,0.1803
339.0,0.1785
339.5,0.1717
340.0,0.2004
340.5,0.1811
341.0,0.1775
341.5,0.1632
342.0,0.1951
342.5,0.1827
343.0,0.2008
343.5,0.1889
344.0,0.1388
344.5,0.1409
345.0,0.1867
345.5,0.1908
346.0,0.1623
346.5,0.1838
347.0,0.1971
347.5,0.1593
348.0,0.1819
348.5,0.1819
349.0,0.1688
349.5,0.1672
350.0,0.2068
350.5,0.218
351.0,0.1946
351.5,0.1889
352.0,0.2031
352.5,0.1586
353.0,0.1999
353.5,0.2136
354.0,0.2216
354.5,0.2249
355.0,0.2242
355.5,0.2029
356.0,0.2125
356.5,0.1815
357.0,0.15
357.5,0.1837
358.0,0.1457
358.5,0.1246
359.0,0.1743
359.5,0.2221
360.0,0.2356
360.5,0.1884
361.0,0.1718
361.5,0.1978
362.0,0.171
362.5,0.2366
363.0,0.2125
363.5,0.1957
364.0,0.2393
364.5,0.2045
365.0,0.2083
365.5,0.2615
366.0,0.2771
366.5,0.2604
367.0,0.2535
367.5,0.263
368.0,0.23
368.5,0.2323
369.0,0.251
369.5,0.2678
370.0,0.2857
370.5,0.2219
371.0,0.2372
371.5,0.2968
372.0,0.197
372.5,0.2363
373.0,0.2405
373.5,0.1566
374.0,0.2275
374.5,0.1885
375.0,0.1833
375.5,0.2737
376.0,0.227
376.5,0.2353
377.0,0.2493
377.5,0.2918
378.0,0.3165
378.5,0.2993
379.0,0.2471
379.5,0.2258
380.0,0.2349
380.5,0.2846
381.0,0.2853
381.5,0.2262
382.0,0.2009
382.5,0.1713
383.0,0.1586
383.5,0.1528
384.0,0.1686
384.5,0.2481
385.0,0.2461
385.5,0.2293
386.0,0.1965
386.5,0.2584
387.0,0.2148
387.5,0.2413
388.0,0.2229
388.5,0.2205
389.0,0.2381
389.5,0.2885
390.0,0.2897
390.5,0.2667
391.0,0.3141
391.5,0.3205
392.0,0.27
392.5,0.2419
393.0,0.1347
393.5,0.09794
394.0,0.1994
394.5,0.2536
395.0,0.3095
395.5,0.3144
396.0,0.2727
396.5,0.1595
397.0,0.1198
397.5,0.2437
398.0,0.3413
398.5,0.3529
399.0,0.3824
399.5,0.3812
400.0,0.3959
401.0,0.4065
402.0,0.4294
403.0,0.4082
404.0,0.4022
405.0,0.4023
406.0,0.3962
407.0,0.3901
408.0,0.4054
409.0,0.4341
410.0,0.3795
411.0,0.4113
412.0,0.4421
413.0,0.4313
414.0,0.437
415.0,0.4383
416.0,0.4464
417.0,0.4356
