Wvlgth,Direct_normal_irradiance
280.0,0.0
280.5,0.0
281.0,0.0
281.5,0.0
282.0,0.0
282.5,0.0
283.0,0.0
283.5,0.0
284.0,0.0
284.5,0.0
285.0,0.0
285.5,2.845e-43
286.0,7.249000000000001e-42
286.5,1.526e-39
287.0,7.107e-38
287.5,1.05e-35
288.0,3.756e-33
288.5,1.4550000000000002e-31
289.0,5.3010000000000005e-30
289.5,2.65e-28
290.0,7.342e-27
290.5,9.99e-26
291.0,2.109e-24
291.5,1.121e-22
292.0,2.714e-21
292.5,1.4100000000000002e-20
293.0,1.653e-19
293.5,4.046e-18
294.0,2.958e-17
294.5,1.585e-16
295.0,1.152e-15
295.5,1.625e-14
296.0,9.539e-14
296.5,3.809e-13
297.0,1.184e-12
297.5,1.019e-11
298.0,4.066e-11
298.5,8.075e-11
299.0,3.354e-10
299.5,1.555e-09
300.0,2.691e-09
300.5,6.487e-09
301.0,2.417e-08
301.5,6.81e-08
302.0,7.619e-08
302.5,2.547e-07
303.0,8.768e-07
303.5,1.58e-06
304.0,1.748e-06
304.5,3.855e-06
305.0,9.598e-06
305.5,1.471e-05
306.0,1.602e-05
306.5,2.398e-05
307.0,5.105e-05
307.5,9.308e-05
308.0,0.0001043
308.5,0.0001436
309.0,0.0001484
309.5,0.0002495
310.0,0.0002988
310.5,0.0005299
311.0,0.000766
311.5,0.0007917
312.0,0.001031
312.5,0.001483
313.0,0.001762
313.5,0.001616
314.0,0.002442
314.5,0.002711
315.0,0.003741
315.5,0.002885
316.0,0.003014
316.5,0.004992
317.0,0.006253
317.5,0.006378
318.0,0.005505
318.5,0.008045
319.0,0.01037
319.5,0.00768
320.0,0.00926
320.5,0.01353
321.0,0.01361
321.5,0.01337
322.0,0.01289
322.5,0.01148
323.0,0.01256
323.5,0.01756
324.0,0.02113
324.5,0.02076
325.0,0.01689
325.5,0.0233
326.0,0.03122
326.5,0.03326
327.0,0.03306
327.5,0.03166
328.0,0.02646
328.5,0.03099
329.0,0.03964
329.5,0.0461
330.0,0.04666
330.5,0.03643
331.0,0.03706
331.5,0.03954
332.0,0.045
332.5,0.04567
333.0,0.04576
333.5,0.04086
334.0,0.04227
334.5,0.05094
335.0,0.04912
335.5,0.05705
336.0,0.03997
336.5,0.04803
337.0,0.03949
337.5,0.04954
338.0,0.04997
338.5,0.05767
339.0,0.05835
339.5,0.05657
340.0,0.0677
340.5,0.06188
341.0,0.06091
341.5,0.05742
342.0,0.06961
342.5,0.06621
343.0,0.07313
343.5,0.06913
344.0,0.05142
344.5,0.05207
345.0,0.07116
345.5,0.07402
346.0,0.06386
346.5,0.07328
347.0,0.07904
347.5,0.06446
348.0,0.07482
348.5,0.07578
349.0,0.07121
349.5,0.07128
350.0,0.08915
350.5,0.09493
351.0,0.08534
351.5,0.08301
352.0,0.0907
352.5,0.07176
353.0,0.09152
353.5,0.09872
354.0,0.1033
354.5,0.1058
355.0,0.1065
355.5,0.09745
356.0,0.1032
356.5,0.0889
357.0,0.07408
357.5,0.09152
358.0,0.07324
358.5,0.06317
359.0,0.08914
359.5,0.1144
360.0,0.1224
360.5,0.09874
361.0,0.09087
361.5,0.1057
362.0,0.09233
362.5,0.129
363.0,0.1169
363.5,0.1087
364.0,0.1341
364.5,0.1155
365.0,0.1185
365.5,0.15
366.0,0.1604
366.5,0.152
367.0,0.1491
367.5,0.1557
368.0,0.1372
368.5,0.1397
369.0,0.1522
369.5,0.1637
370.0,0.1762
370.5,0.1379
371.0,0.1486
371.5,0.1872
372.0,0.1251
372.5,0.1512
373.0,0.1551
373.5,0.1017
374.0,0.1489
374.5,0.1243
375.0,0.1217
375.5,0.1829
376.0,0.1526
376.5,0.1592
377.0,0.1699
377.5,0.2003
378.0,0.2186
378.5,0.208
379.0,0.1728
379.5,0.1588
380.0,0.1662
380.5,0.2027
381.0,0.2047
381.5,0.1635
382.0,0.1462
382.5,0.1256
383.0,0.117
383.5,0.1134
384.0,0.1259
384.5,0.1864
385.0,0.1861
385.5,0.1746
386.0,0.1506
386.5,0.1993
387.0,0.1666
387.5,0.1883
388.0,0.175
388.5,0.1741
389.0,0.1891
389.5,0.2305
390.0,0.2328
390.5,0.2156
391.0,0.2554
391.5,0.2619
392.0,0.2219
392.5,0.1999
393.0,0.112
393.5,0.0819
394.0,0.1676
394.5,0.2144
395.0,0.2629
395.5,0.2684
396.0,0.2341
396.5,0.1378
397.0,0.104
397.5,0.2127
398.0,0.2991
398.5,0.3107
399.0,0.3389
399.5,0.3395
400.0,0.3539
401.0,0.3675
402.0,0.3922
403.0,0.3767
404.0,0.3744
405.0,0.3778
406.0,0.3758
407.0,0.3738
408.0,0.3913
409.0,0.4228
410.0,0.3729
411.0,0.4077
412.0,0.4423
413.0,0.4345
414.0,0.4441
415.0,0.4494
416.0,0.4618
417.0,0.4541
418.0,0.4495
419.0,0.4592
420.0,0.4607
421.0,0.4861
422.0,0.4657
423.0,0.4586
424.0,0.4886
425.0,0.492
426.0,0.4836
427.0,0.4778
428.0,0.4684
429.0,0.4478
430.0,0.3947
431.0,0.3935
432.0,0.5125
433.0,0.519
434.0,0.4848
435.0,0.5091
436.0,0.5784
437.0,0.5752
438.0,0.5275
439.0,0.547
440.0,0.5687
441.0,0.5943
442.0,0.6416
443.0,0.6291
444.0,0.6459
445.0,0.6349
446.0,0.6109
447.0,0.6644
448.0,0.6767
449.0,0.685
450.0,0.7088
451.0,0.7392
452.0,0.716
453.0,0.6773
454.0,0.7116
455.0,0.7193
456.0,0.7405
457.0,0.7565
458.0,0.7332
459.0,0.7333
460.0,0.7381
461.0,0.7589
462.0,0.7693
463.0,0.7665
464.0,0.7584
465.0,0.7537
466.0,0.7655
467.0,0.7536
468.0,0.7662
469.0,0.7741
470.0,0.7527
471.0,0.7547
472.0,0.7981
473.0,0.7913
474.0,0.7938
475.0,0.8029
476.0,0.7811
477.0,0.7857
478.0,0.8107
479.0,0.8088
480.0,0.8133
481.0,0.8323
482.0,0.8409
483.0,0.8352
484.0,0.8218
485.0,0.7867
486.0,0.6909
487.0,0.7274
488.0,0.8001
489.0,0.8044
490.0,0.8497
491.0,0.8388
492.0,0.7949
493.0,0.8236
494.0,0.8343
495.0,0.844
496.0,0.8511
497.0,0.8671
498.0,0.8289
499.0,0.8413
500.0,0.8185
501.0,0.8048
502.0,0.7948
503.0,0.829
504.0,0.8139
505.0,0.8395
506.0,0.8714
507.0,0.8335
508.0,0.8106
509.0,0.8355
510.0,0.8331
511.0,0.8571
512.0,0.869
513.0,0.8257
514.0,0.8223
515.0,0.8162
516.0,0.8164
517.0,0.7277
518.0,0.7669
519.0,0.8059
520.0,0.8365
521.0,0.8457
522.0,0.8476
523.0,0.8347
524.0,0.8662
525.0,0.8765
526.0,0.8377
527.0,0.7896
528.0,0.8343
529.0,0.8793
530.0,0.8682
531.0,0.8826
532.0,0.8539
533.0,0.831
534.0,0.8578
535.0,0.8785
536.0,0.8883
537.0,0.8558
538.0,0.8739
539.0,0.8696
540.0,0.8358
541.0,0.8445
542.0,0.8722
543.0,0.8635
544.0,0.8808
545.0,0.8776
546.0,0.8823
547.0,0.8801
548.0,0.8703
549.0,0.8754
550.0,0.8888
551.0,0.8799
552.0,0.8873
553.0,0.8723
554.0,0.8935
555.0,0.8952
556.0,0.8839
557.0,0.8569
558.0,0.8497
559.0,0.8331
560.0,0.845
561.0,0.8573
562.0,0.8512
563.0,0.8748
564.0,0.8512
565.0,0.8442
566.0,0.8323
567.0,0.8485
568.0,0.8423
569.0,0.827
570.0,0.8247
571.0,0.8168
572.0,0.8387
573.0,0.8477
574.0,0.845
575.0,0.8296
576.0,0.8225
577.0,0.8327
578.0,0.8221
579.0,0.8287
580.0,0.8489
581.0,0.8568
582.0,0.8782
583.0,0.8854
584.0,0.8968
585.0,0.8772
586.0,0.8607
587.0,0.8804
588.0,0.8653
589.0,0.7772
590.0,0.8139
591.0,0.8571
592.0,0.852
593.0,0.8601
594.0,0.8583
595.0,0.8407
596.0,0.8625
