Wvlgth,Global_horizn_irradiance
280.0,9.291e-21
280.5,1.692e-19
281.0,7.75e-19
281.5,1.437e-17
282.0,8.655e-17
282.5,2.739e-16
283.0,9.824e-16
283.5,1.653e-15
284.0,2.526e-14
284.5,1.015e-13
285.0,1.93e-13
285.5,1.161e-12
286.0,4.924e-12
286.5,2.295e-11
287.0,6.634e-11
287.5,2.483e-10
288.0,7.579e-10
288.5,2.68e-09
289.0,7.906e-09
289.5,2.582e-08
290.0,7.482e-08
290.5,1.582e-07
291.0,3.508e-07
291.5,9.466e-07
292.0,2.14e-06
292.5,3e-06
293.0,6.358e-06
293.5,1.521e-05
294.0,2.375e-05
294.5,4.148e-05
295.0,7.043e-05
295.5,0.0001368
296.0,0.0002358
296.5,0.0002948
297.0,0.0003634
297.5,0.0008497
298.0,0.001198
298.5,0.001106
299.0,0.002243
299.5,0.003206
300.0,0.003338
300.5,0.00445
301.0,0.007074
301.5,0.01003
302.0,0.007995
302.5,0.01435
303.0,0.02313
303.5,0.02747
304.0,0.02483
304.5,0.03337
305.0,0.04382
305.5,0.04599
306.0,0.04311
306.5,0.05084
307.0,0.06684
307.5,0.0795
308.0,0.08264
308.5,0.09899
309.0,0.08609
309.5,0.0909
310.0,0.08801
310.5,0.1401
311.0,0.1704
311.5,0.1623
312.0,0.1517
312.5,0.1766
313.0,0.1873
313.5,0.1858
314.0,0.2199
314.5,0.1817
315.0,0.2361
315.5,0.2043
316.0,0.1685
316.5,0.2303
317.0,0.2861
317.5,0.3017
318.0,0.2275
318.5,0.2651
319.0,0.3048
319.5,0.2612
320.0,0.3177
320.5,0.3726
321.0,0.3133
321.5,0.2987
322.0,0.3381
322.5,0.2928
323.0,0.2799
323.5,0.3303
324.0,0.3828
324.5,0.3952
325.0,0.349
325.5,0.4451
326.0,0.5233
326.5,0.5125
327.0,0.5148
327.5,0.5019
328.0,0.4599
328.5,0.4659
329.0,0.5425
329.5,0.6104
330.0,0.6194
330.5,0.5057
331.0,0.5185
331.5,0.5183
332.0,0.5474
332.5,0.536
333.0,0.5371
333.5,0.4937
334.0,0.5065
334.5,0.5733
335.0,0.5328
335.5,0.623
336.0,0.4307
336.5,0.5057
337.0,0.4178
337.5,0.5205
338.0,0.5003
338.5,0.5771
339.0,0.5703
339.5,0.5485
340.0,0.6439
340.5,0.5791
341.0,0.5652
341.5,0.518
342.0,0.6182
342.5,0.5781
343.0,0.636
343.5,0.5987
344.0,0.4589
344.5,0.4464
345.0,0.5895
345.5,0.601
346.0,0.5101
346.5,0.577
347.0,0.6192
347.5,0.5003
348.0,0.5696
348.5,0.5688
349.0,0.5272
349.5,0.5216
350.0,0.6445
350.5,0.6792
351.0,0.6065
351.5,0.5896
352.0,0.6326
352.5,0.493
353.0,0.6203
353.5,0.6622
354.0,0.6866
354.5,0.6963
355.0,0.6941
355.5,0.6269
356.0,0.6558
356.5,0.5598
357.0,0.4625
357.5,0.5661
358.0,0.4486
358.5,0.3833
359.0,0.5361
359.5,0.6833
360.0,0.7241
360.5,0.5784
361.0,0.5268
361.5,0.6056
362.0,0.5229
362.5,0.7226
363.0,0.6482
363.5,0.5964
364.0,0.7286
364.5,0.6224
365.0,0.6335
365.5,0.7945
366.0,0.8412
366.5,0.7896
367.0,0.7684
367.5,0.7966
368.0,0.6965
368.5,0.7026
369.0,0.7585
369.5,0.8084
370.0,0.8616
370.5,0.6685
371.0,0.714
371.5,0.8929
372.0,0.5924
372.5,0.71
373.0,0.7218
373.5,0.4694
374.0,0.6818
374.5,0.5644
375.0,0.5484
375.5,0.8185
376.0,0.6783
376.5,0.7028
377.0,0.7438
377.5,0.8701
378.0,0.9431
378.5,0.8915
379.0,0.7358
379.5,0.6722
380.0,0.6987
380.5,0.8458
381.0,0.8471
381.5,0.6709
382.0,0.5954
382.5,0.5071
383.0,0.4692
383.5,0.4516
384.0,0.4979
384.5,0.7321
385.0,0.7257
385.5,0.6756
386.0,0.5785
386.5,0.7597
387.0,0.6312
387.5,0.7088
388.0,0.6543
388.5,0.6465
389.0,0.6977
389.5,0.8448
390.0,0.8476
390.5,0.7799
391.0,0.9177
391.5,0.9358
392.0,0.7881
392.5,0.7053
393.0,0.3923
393.5,0.285
394.0,0.5799
394.5,0.737
395.0,0.899
395.5,0.913
396.0,0.7914
396.5,0.4624
397.0,0.3469
397.5,0.7054
398.0,0.9877
398.5,1.021
399.0,1.105
399.5,1.101
400.0,1.143
401.0,1.177
402.0,1.241
403.0,1.178
404.0,1.159
405.0,1.158
406.0,1.138
407.0,1.119
408.0,1.162
409.0,1.243
410.0,1.085
411.0,1.175
412.0,1.26
413.0,1.229
414.0,1.243
415.0,1.245
416.0,1.266
417.0,1.234
418.0,1.211
419.0,1.226
420.0,1.22
421.0,1.276
422.0,1.212
423.0,1.183
424.0,1.251
425.0,1.249
426.0,1.215
427.0,1.191
428.0,1.16
429.0,1.098
430.0,0.9601
431.0,0.9517
432.0,1.228
433.0,1.234
434.0,1.145
435.0,1.196
436.0,1.346
437.0,1.327
438.0,1.207
439.0,1.249
440.0,1.288
441.0,1.334
442.0,1.43
443.0,1.394
444.0,1.422
445.0,1.392
446.0,1.327
447.0,1.433
448.0,1.456
449.0,1.459
450.0,1.499
451.0,1.554
452.0,1.497
453.0,1.407
454.0,1.468
455.0,1.477
456.0,1.511
457.0,1.536
458.0,1.484
459.0,1.475
460.0,1.479
461.0,1.513
462.0,1.523
463.0,1.512
464.0,1.486
465.0,1.466
466.0,1.479
467.0,1.452
468.0,1.469
469.0,1.477
470.0,1.43
471.0,1.428
472.0,1.505
473.0,1.486
474.0,1.489
475.0,1.503
476.0,1.461
477.0,1.466
478.0,1.506
479.0,1.494
480.0,1.495
481.0,1.52
482.0,1.526
483.0,1.506
484.0,1.474
485.0,1.404
486.0,1.226
487.0,1.284
488.0,1.408
489.0,1.413
490.0,1.486
491.0,1.459
492.0,1.378
493.0,1.423
494.0,1.437
495.0,1.448
496.0,1.457
497.0,1.48
498.0,1.41
499.0,1.429
500.0,1.389
501.0,1.364
502.0,1.346
503.0,1.404
504.0,1.377
505.0,1.418
506.0,1.465
507.0,1.394
508.0,1.349
509.0,1.385
510.0,1.376
511.0,1.412
512.0,1.427
513.0,1.351
514.0,1.341
515.0,1.328
516.0,1.325
517.0,1.177
518.0,1.238
519.0,1.298
520.0,1.346
521.0,1.359
522.0,1.36
523.0,1.337
524.0,1.386
525.0,1.403
526.0,1.341
527.0,1.264
528.0,1.337
529.0,1.41
530.0,1.39
531.0,1.411
532.0,1.363
533.0,1.323
534.0,1.362
535.0,1.39
536.0,1.402
537.0,1.346
538.0,1.37
539.0,1.359
540.0,1.303
541.0,1.314
542.0,1.356
543.0,1.34
544.0,1.365
545.0,1.359
546.0,1.366
547.0,1.363
