Wvlgth,Difuse_horizn_irradiance
280.0,5.959e-24
280.5,2.592e-22
281.0,1.4430000000000001e-21
281.5,6.069e-20
282.0,5.473e-19
282.5,4.54e-19
283.0,6.288e-19
283.5,9.044e-19
284.0,1.407e-17
284.5,4.222e-17
285.0,9.105e-17
285.5,5.88e-16
286.0,2.273e-15
286.5,1.037e-14
287.0,3.083e-14
287.5,1.279e-13
288.0,5.371e-13
288.5,2.03e-12
289.0,5.472e-12
289.5,1.664e-11
290.0,4.768e-11
290.5,1.001e-10
291.0,2.252e-10
291.5,6.983e-10
292.0,1.696e-09
292.5,2.164e-09
293.0,4.887e-09
293.5,1.28e-08
294.0,2.089e-08
294.5,3.726e-08
295.0,6.611e-08
295.5,1.626e-07
296.0,2.932e-07
296.5,3.08e-07
297.0,4.321e-07
297.5,1.228e-06
298.0,2.029e-06
298.5,2.11e-06
299.0,4.81e-06
299.5,8.575e-06
300.0,9.469e-06
300.5,1.422e-05
301.0,2.726e-05
301.5,4.56e-05
302.0,3.986e-05
302.5,8.706e-05
303.0,0.0001655
303.5,0.0002137
304.0,0.0002003
304.5,0.0003184
305.0,0.0005631
305.5,0.0007095
306.0,0.0007105
306.5,0.0009435
307.0,0.001625
307.5,0.002499
308.0,0.002681
308.5,0.003404
309.0,0.003295
309.5,0.004809
310.0,0.00506
310.5,0.008358
311.0,0.0109
311.5,0.01065
312.0,0.01161
312.5,0.01493
313.0,0.01662
313.5,0.01558
314.0,0.02087
314.5,0.02029
315.0,0.02696
315.5,0.02141
316.0,0.02018
316.5,0.03091
317.0,0.03808
317.5,0.03867
318.0,0.03153
318.5,0.04272
319.0,0.05285
319.5,0.03978
320.0,0.04735
320.5,0.06489
321.0,0.06269
321.5,0.06029
322.0,0.05833
322.5,0.05087
323.0,0.05365
323.5,0.07015
324.0,0.08223
324.5,0.08125
325.0,0.06704
325.5,0.09028
326.0,0.1126
326.5,0.1158
327.0,0.1136
327.5,0.1078
328.0,0.09353
328.5,0.1013
329.0,0.1258
329.5,0.1439
330.0,0.1432
330.5,0.1107
331.0,0.1113
331.5,0.1155
332.0,0.1287
332.5,0.1289
333.0,0.1269
333.5,0.1116
334.0,0.1136
334.5,0.1345
335.0,0.1282
335.5,0.151
336.0,0.1043
336.5,0.1192
337.0,0.09623
337.5,0.1188
338.0,0.1186
338.5,0.1383
339.0,0.1362
339.5,0.1308
340.0,0.1515
340.5,0.1365
341.0,0.1341
341.5,0.1226
342.0,0.146
342.5,0.1363
343.0,0.1496
343.5,0.1407
344.0,0.1027
344.5,0.1047
345.0,0.1377
345.5,0.1401
346.0,0.1187
346.5,0.134
347.0,0.1436
347.5,0.1158
348.0,0.1316
348.5,0.1312
349.0,0.1214
349.5,0.1198
350.0,0.1478
350.5,0.1555
351.0,0.1385
351.5,0.1344
352.0,0.1439
352.5,0.1119
353.0,0.1406
353.5,0.1498
354.0,0.155
354.5,0.1569
355.0,0.156
355.5,0.1407
356.0,0.147
356.5,0.1252
357.0,0.1032
357.5,0.1261
358.0,0.09971
358.5,0.08502
359.0,0.1187
359.5,0.1508
360.0,0.1595
360.5,0.1272
361.0,0.1156
361.5,0.1327
362.0,0.1144
362.5,0.1578
363.0,0.1413
363.5,0.1298
364.0,0.1583
364.5,0.1349
365.0,0.137
365.5,0.1715
366.0,0.1813
366.5,0.1698
367.0,0.1649
367.5,0.1706
368.0,0.1488
368.5,0.1498
369.0,0.1615
369.5,0.1718
370.0,0.1827
370.5,0.1415
371.0,0.1508
371.5,0.1882
372.0,0.1246
372.5,0.1491
373.0,0.1513
373.5,0.09817
374.0,0.1423
374.5,0.1176
375.0,0.114
375.5,0.1698
376.0,0.1404
376.5,0.1452
377.0,0.1534
377.5,0.179
378.0,0.1936
378.5,0.1826
379.0,0.1504
379.5,0.1371
380.0,0.1422
380.5,0.1718
381.0,0.1718
381.5,0.1358
382.0,0.1203
382.5,0.1022
383.0,0.0944
383.5,0.09068
384.0,0.09977
384.5,0.1464
385.0,0.1448
385.5,0.1346
386.0,0.115
386.5,0.1507
387.0,0.125
387.5,0.14
388.0,0.129
388.5,0.1272
389.0,0.137
389.5,0.1656
390.0,0.1658
390.5,0.1522
391.0,0.1788
391.5,0.1819
392.0,0.1529
392.5,0.1365
393.0,0.0758
393.5,0.05497
394.0,0.1116
394.5,0.1415
395.0,0.1723
395.5,0.1746
396.0,0.151
396.5,0.08809
397.0,0.06596
397.5,0.1338
398.0,0.187
398.5,0.1928
399.0,0.2083
399.5,0.2071
400.0,0.2146
401.0,0.219
402.0,0.23
403.0,0.2175
404.0,0.2132
405.0,0.2122
406.0,0.2078
407.0,0.2034
408.0,0.2104
409.0,0.2241
410.0,0.1949
411.0,0.2101
412.0,0.2246
413.0,0.2181
414.0,0.2198
415.0,0.2193
416.0,0.2221
417.0,0.2156
