Wvlgth,Direct_normal_irradiance
280.0,6.519e-24
280.5,2.0919999999999998e-22
281.0,1.2e-21
281.5,3.7310000000000004e-20
282.0,3.092e-19
282.5,1.215e-18
283.0,5.494e-18
283.5,1.044e-17
284.0,2.595e-16
284.5,9.176e-16
285.0,2.158e-15
285.5,1.657e-14
286.0,7.871e-14
286.5,4.498e-13
287.0,1.521e-12
287.5,6.902e-12
288.0,3.091e-11
288.5,1.239e-10
289.0,4.141e-10
289.5,1.541e-09
290.0,4.967e-09
290.5,1.151e-08
291.0,2.815e-08
291.5,9.26e-08
292.0,2.355e-07
292.5,3.576e-07
293.0,8.298e-07
293.5,2.213e-06
294.0,3.751e-06
294.5,6.645e-06
295.0,1.172e-05
295.5,2.84e-05
296.0,5.154e-05
296.5,6.753e-05
297.0,8.637e-05
297.5,0.0002117
298.0,0.0003097
298.5,0.0002939
299.0,0.0006107
299.5,0.0009015
300.0,0.0009565
300.5,0.001296
301.0,0.002098
301.5,0.00303
302.0,0.00248
302.5,0.004647
303.0,0.007884
303.5,0.009592
304.0,0.008795
304.5,0.01213
305.0,0.01642
305.5,0.01757
306.0,0.01665
306.5,0.01991
307.0,0.02674
307.5,0.0324
308.0,0.03394
308.5,0.03841
309.0,0.03402
309.5,0.0374
310.0,0.03694
310.5,0.05955
311.0,0.07361
311.5,0.07079
312.0,0.06788
312.5,0.08042
313.0,0.08625
313.5,0.08556
314.0,0.1031
314.5,0.0869
315.0,0.1137
315.5,0.09828
316.0,0.0823
316.5,0.114
317.0,0.1422
317.5,0.1504
318.0,0.1145
318.5,0.1352
319.0,0.1566
319.5,0.1341
320.0,0.1637
320.5,0.1942
321.0,0.1648
321.5,0.1579
322.0,0.1787
322.5,0.1555
323.0,0.1497
323.5,0.1735
324.0,0.202
324.5,0.2094
325.0,0.19
325.5,0.2379
326.0,0.2809
326.5,0.2762
327.0,0.2786
327.5,0.2729
328.0,0.251
328.5,0.2553
329.0,0.2982
329.5,0.3368
330.0,0.3432
330.5,0.2816
331.0,0.2899
331.5,0.2908
332.0,0.308
332.5,0.3024
333.0,0.3044
333.5,0.2812
334.0,0.2896
334.5,0.3287
335.0,0.3063
335.5,0.3481
336.0,0.2415
336.5,0.2941
337.0,0.244
337.5,0.3052
338.0,0.294
338.5,0.332
339.0,0.3311
339.5,0.3182
340.0,0.3837
340.5,0.3463
341.0,0.3325
341.5,0.3086
342.0,0.3704
342.5,0.3482
343.0,0.3824
343.5,0.3599
344.0,0.2704
344.5,0.2679
345.0,0.3591
345.5,0.3687
346.0,0.3147
346.5,0.3576
