Wvlgth,Global_horizn_irradiance
280.0,8.851e-19
280.5,5.2810000000000007e-20
281.0,1.685e-19
281.5,1.954e-18
282.0,1.009e-17
282.5,2.972e-17
283.0,1.001e-16
283.5,1.646e-16
284.0,2.319e-15
284.5,7.993e-15
285.0,1.519e-14
285.5,9.177e-14
286.0,3.936e-13
286.5,1.86e-12
287.0,5.475e-12
287.5,2.102e-11
288.0,6.577e-11
288.5,2.534e-10
289.0,8.165e-10
289.5,2.937e-09
290.0,9.237e-09
290.5,2.098e-08
291.0,5.046e-08
291.5,1.559e-07
292.0,3.971e-07
292.5,6.036e-07
293.0,1.414e-06
293.5,3.88e-06
294.0,6.764e-06
294.5,1.063e-05
295.0,1.963e-05
295.5,4.157e-05
296.0,7.559e-05
296.5,9.949e-05
297.0,0.0001278
297.5,0.0003172
298.0,0.00047
298.5,0.0004508
299.0,0.0009479
299.5,0.001439
300.0,0.001554
300.5,0.002143
301.0,0.003591
301.5,0.005324
302.0,0.004299
302.5,0.007902
303.0,0.01311
303.5,0.01591
304.0,0.01453
304.5,0.02002
305.0,0.02718
305.5,0.02913
306.0,0.02753
306.5,0.03288
307.0,0.04441
307.5,0.05414
308.0,0.05654
308.5,0.06898
309.0,0.06036
309.5,0.0649
310.0,0.06338
310.5,0.1013
311.0,0.1242
311.5,0.1186
312.0,0.1126
312.5,0.1324
313.0,0.1411
313.5,0.1394
314.0,0.167
314.5,0.1401
315.0,0.1826
315.5,0.1569
316.0,0.131
316.5,0.181
317.0,0.2248
317.5,0.2365
318.0,0.1796
318.5,0.2122
319.0,0.2456
319.5,0.2084
320.0,0.2531
320.5,0.3008
321.0,0.256
321.5,0.2444
322.0,0.2733
322.5,0.2369
323.0,0.2283
323.5,0.2715
324.0,0.3152
324.5,0.3243
325.0,0.2853
325.5,0.3647
326.0,0.4315
326.5,0.4246
327.0,0.4259
327.5,0.4145
328.0,0.3776
328.5,0.3853
329.0,0.4512
329.5,0.5086
330.0,0.5155
330.5,0.4192
331.0,0.4292
331.5,0.4305
332.0,0.4568
332.5,0.4482
333.0,0.4487
333.5,0.4111
334.0,0.4216
334.5,0.4791
335.0,0.4463
335.5,0.5218
336.0,0.3608
336.5,0.4234
337.0,0.3493
337.5,0.435
338.0,0.4194
338.5,0.4838
339.0,0.4781
339.5,0.4599
340.0,0.5401
340.5,0.486
341.0,0.4742
341.5,0.4346
342.0,0.5188
342.5,0.4852
343.0,0.5338
343.5,0.5026
344.0,0.3854
344.5,0.3749
345.0,0.4951
345.5,0.5049
346.0,0.4286
346.5,0.4849
347.0,0.5204
347.5,0.4206
348.0,0.4789
348.5,0.4783
349.0,0.4433
349.5,0.4387
350.0,0.5422
350.5,0.5715
351.0,0.5103
351.5,0.4962
352.0,0.5325
352.5,0.4151
353.0,0.5223
353.5,0.5577
354.0,0.5782
354.5,0.5864
355.0,0.5846
355.5,0.5282
356.0,0.5526
356.5,0.4718
357.0,0.3899
357.5,0.4772
358.0,0.3782
358.5,0.3232
359.0,0.4521
359.5,0.5762
360.0,0.6107
360.5,0.4879
361.0,0.4444
361.5,0.511
362.0,0.4413
362.5,0.61
363.0,0.5473
363.5,0.5036
364.0,0.6154
364.5,0.5257
365.0,0.5351
365.5,0.6713
366.0,0.7108
366.5,0.6673
367.0,0.6495
367.5,0.6734
368.0,0.5888
368.5,0.594
369.0,0.6414
369.5,0.6837
370.0,0.7289
370.5,0.5656
371.0,0.6042
371.5,0.7556
372.0,0.5014
372.5,0.6009
373.0,0.6111
373.5,0.3975
374.0,0.5773
374.5,0.478
375.0,0.4645
375.5,0.6933
376.0,0.5746
376.5,0.5954
377.0,0.6303
377.5,0.7373
378.0,0.7993
378.5,0.7556
379.0,0.6237
379.5,0.5698
380.0,0.5923
380.5,0.7171
381.0,0.7183
381.5,0.569
382.0,0.505
382.5,0.4302
383.0,0.3981
383.5,0.3832
384.0,0.4226
384.5,0.6213
385.0,0.616
385.5,0.5736
386.0,0.4912
386.5,0.6451
387.0,0.536
387.5,0.602
388.0,0.5558
388.5,0.5493
389.0,0.5928
389.5,0.7179
390.0,0.7203
390.5,0.6628
391.0,0.78
391.5,0.7955
392.0,0.67
392.5,0.5997
393.0,0.3336
393.5,0.2424
394.0,0.4932
394.5,0.6269
395.0,0.7648
395.5,0.7767
396.0,0.6733
396.5,0.3935
397.0,0.2953
397.5,0.6004
398.0,0.8407
398.5,0.8687
399.0,0.9404
399.5,0.9371
400.0,0.973
401.0,1.002
402.0,1.057
403.0,1.004
404.0,0.9877
405.0,0.987
406.0,0.9705
407.0,0.9544
408.0,0.9913
409.0,1.06
410.0,0.9259
411.0,1.002
412.0,1.076
413.0,1.049
414.0,1.061
415.0,1.063
416.0,1.081
417.0,1.054
418.0,1.035
419.0,1.048
420.0,1.043
421.0,1.09
422.0,1.036
423.0,1.012
424.0,1.07
425.0,1.068
426.0,1.039
427.0,1.019
428.0,0.9924
429.0,0.9394
430.0,0.8216
431.0,0.8144
432.0,1.051
433.0,1.056
434.0,0.9806
435.0,1.024
436.0,1.153
437.0,1.136
438.0,1.034
439.0,1.07
440.0,1.103
441.0,1.143
442.0,1.225
443.0,1.194
444.0,1.219
445.0,1.193
446.0,1.138
447.0,1.229
448.0,1.248
449.0,1.252
450.0,1.286
451.0,1.333
452.0,1.284
453.0,1.207
454.0,1.259
455.0,1.267
456.0,1.297
457.0,1.318
458.0,1.273
459.0,1.266
460.0,1.269
461.0,1.298
462.0,1.307
463.0,1.298
464.0,1.275
465.0,1.258
466.0,1.27
467.0,1.247
468.0,1.262
469.0,1.269
470.0,1.228
471.0,1.226
472.0,1.292
473.0,1.276
474.0,1.279
475.0,1.291
476.0,1.254
477.0,1.259
478.0,1.293
479.0,1.283
480.0,1.283
481.0,1.305
482.0,1.311
483.0,1.293
484.0,1.266
