Wvlgth,Difuse_horizn_irradiance
280.0,2.13e-19
280.5,1.666e-19
281.0,1.677e-19
281.5,1.291e-18
282.0,6.286e-18
282.5,1.813e-17
283.0,6.03e-17
283.5,9.854e-17
284.0,1.375e-15
284.5,3.049e-15
285.0,5.162e-15
285.5,2.788e-14
286.0,1.144e-13
286.5,4.993e-13
287.0,1.387e-12
287.5,5.143e-12
288.0,1.553e-11
288.5,5.706e-11
289.0,1.745e-10
289.5,5.909e-10
290.0,1.76e-09
290.5,3.8e-09
291.0,8.584e-09
291.5,2.707e-08
292.0,7.028e-08
292.5,1.079e-07
293.0,2.575e-07
293.5,7.339e-07
294.0,1.318e-06
294.5,2.208e-06
295.0,4.283e-06
295.5,9.259e-06
296.0,1.728e-05
296.5,2.341e-05
297.0,3.084e-05
297.5,7.996e-05
298.0,0.0001235
298.5,0.0001226
299.0,0.0002673
299.5,0.0004356
300.0,0.000493
300.5,0.0007125
301.0,0.001298
301.5,0.002069
302.0,0.001671
302.5,0.003079
303.0,0.005127
303.5,0.006321
304.0,0.005815
304.5,0.008194
305.0,0.0115
305.5,0.01257
306.0,0.01196
306.5,0.01445
307.0,0.0201
307.5,0.02522
308.0,0.02642
308.5,0.03408
309.0,0.02976
309.5,0.03203
310.0,0.03128
310.5,0.04998
311.0,0.06127
311.5,0.05848
312.0,0.0558
312.5,0.06589
313.0,0.07035
313.5,0.06909
314.0,0.08325
314.5,0.07063
315.0,0.09206
315.5,0.0784
316.0,0.06606
316.5,0.09205
317.0,0.114
317.5,0.1193
318.0,0.0911
318.5,0.1091
319.0,0.1271
319.5,0.1061
320.0,0.1283
320.5,0.1548
321.0,0.1337
321.5,0.1276
322.0,0.1397
322.5,0.1209
323.0,0.1176
323.5,0.1431
324.0,0.1661
324.5,0.1696
325.0,0.1459
325.5,0.1893
326.0,0.2255
326.5,0.223
327.0,0.2226
327.5,0.2154
328.0,0.194
328.5,0.1996
329.0,0.2355
329.5,0.2657
330.0,0.268
330.5,0.2158
331.0,0.2198
331.5,0.2212
332.0,0.2363
332.5,0.2323
333.0,0.2314
333.5,0.2101
334.0,0.2147
334.5,0.2453
335.0,0.2291
335.5,0.2736
336.0,0.1888
336.5,0.2153
337.0,0.1767
337.5,0.2192
338.0,0.2123
338.5,0.249
339.0,0.2443
339.5,0.2354
340.0,0.271
340.5,0.2435
341.0,0.2404
341.5,0.2181
342.0,0.2593
342.5,0.2416
343.0,0.2664
343.5,0.2511
344.0,0.1961
344.5,0.1879
345.0,0.245
345.5,0.2484
346.0,0.21
346.5,0.2368
347.0,0.2543
347.5,0.2054
348.0,0.2324
348.5,0.2311
349.0,0.2136
349.5,0.211
350.0,0.2601
350.5,0.2736
351.0,0.2441
351.5,0.2382
352.0,0.2541
352.5,0.1972
353.0,0.2473
353.5,0.2632
354.0,0.2721
354.5,0.2754
355.0,0.2741
355.5,0.2471
356.0,0.2579
356.5,0.2197
357.0,0.1812
357.5,0.2212
358.0,0.1749
358.5,0.1491
359.0,0.2082
359.5,0.2651
360.0,0.2802
360.5,0.2233
361.0,0.2029
361.5,0.2328
362.0,0.2007
362.5,0.2768
363.0,0.2478
363.5,0.2276
364.0,0.2776
364.5,0.2366
365.0,0.2404
365.5,0.3009
366.0,0.3179
366.5,0.2979
367.0,0.2893
367.5,0.2993
368.0,0.2611
368.5,0.263
369.0,0.2834
369.5,0.3015
370.0,0.3207
370.5,0.2484
371.0,0.2648
371.5,0.3304
372.0,0.2188
372.5,0.2617
373.0,0.2656
373.5,0.1724
374.0,0.25
374.5,0.2065
375.0,0.2003
375.5,0.2983
376.0,0.2468
376.5,0.2552
377.0,0.2696
377.5,0.3147
378.0,0.3405
378.5,0.3212
379.0,0.2646
379.5,0.2412
380.0,0.2503
380.5,0.3024
381.0,0.3023
381.5,0.239
382.0,0.2117
