Wvlgth,Difuse_horizn_irradiance
280.0,1.3990000000000002e-20
280.5,3.678e-19
281.0,1.923e-18
281.5,8.244e-19
282.0,3.591e-18
282.5,1.01e-17
283.0,3.341e-17
283.5,5.45e-17
284.0,7.935e-16
284.5,2.295e-15
285.0,3.326e-15
285.5,1.644e-14
286.0,6.576e-14
286.5,2.796e-13
287.0,7.68e-13
287.5,2.735e-12
288.0,6.667e-12
288.5,2.099e-11
289.0,5.608e-11
289.5,1.668e-10
290.0,4.511e-10
290.5,9.02e-10
291.0,1.873e-09
291.5,4.444e-09
292.0,1.032e-08
292.5,1.469e-08
293.0,3.165e-08
293.5,7.709e-08
294.0,1.216e-07
294.5,2.036e-07
295.0,3.42e-07
295.5,7.683e-07
296.0,1.459e-06
296.5,2.045e-06
297.0,2.775e-06
297.5,7.542e-06
298.0,1.218e-05
298.5,1.257e-05
299.0,2.854e-05
299.5,5.046e-05
300.0,6.067e-05
300.5,9.357e-05
301.0,0.0001942
301.5,0.0003566
302.0,0.0002953
302.5,0.0005698
303.0,0.001008
303.5,0.001326
304.0,0.001261
304.5,0.00193
305.0,0.003037
305.5,0.003574
306.0,0.003502
306.5,0.004439
307.0,0.006837
307.5,0.00946
308.0,0.01009
308.5,0.01319
309.0,0.01177
309.5,0.0135
310.0,0.01359
310.5,0.02206
311.0,0.02771
311.5,0.02674
312.0,0.02688
312.5,0.03286
313.0,0.03575
313.5,0.03458
314.0,0.04339
314.5,0.03887
315.0,0.05121
315.5,0.04253
316.0,0.03743
316.5,0.05418
317.0,0.06714
317.5,0.06954
318.0,0.05449
318.5,0.06854
319.0,0.08189
319.5,0.06575
320.0,0.07904
320.5,0.1002
321.0,0.09058
321.5,0.08689
322.0,0.09076
322.5,0.07872
323.0,0.07904
323.5,0.0974
324.0,0.1136
324.5,0.1148
325.0,0.09876
325.5,0.1275
326.0,0.1549
326.5,0.1555
327.0,0.1544
327.5,0.1484
328.0,0.1311
328.5,0.1381
329.0,0.1662
329.5,0.1887
330.0,0.1895
330.5,0.1503
331.0,0.1523
331.5,0.155
332.0,0.1683
332.5,0.1667
333.0,0.1654
333.5,0.1484
334.0,0.1513
334.5,0.1753
335.0,0.1651
335.5,0.1947
336.0,0.1343
336.5,0.1546
337.0,0.1261
337.5,0.1561
338.0,0.1529
338.5,0.1776
339.0,0.1748
339.5,0.1681
