Wvlgth,Difuse_horizn_irradiance
280.0,6.3780000000000004e-21
280.5,1.064e-19
281.0,4.661e-19
281.5,7.837e-18
282.0,4.396e-17
282.5,1.315e-16
283.0,4.428e-16
283.5,7.132e-16
284.0,9.612e-15
284.5,5.566e-14
285.0,1.047e-13
285.5,6.252e-13
286.0,2.613e-12
286.5,1.208e-11
287.0,3.457e-11
287.5,1.288e-10
288.0,3.362e-10
288.5,1.193e-09
289.0,3.545e-09
289.5,1.177e-08
290.0,3.453e-08
290.5,7.368e-08
291.0,1.671e-07
291.5,4.265e-07
292.0,9.69e-07
292.5,1.343e-06
293.0,2.837e-06
293.5,6.887e-06
294.0,1.075e-05
294.5,1.983e-05
295.0,3.509e-05
295.5,5.892e-05
296.0,0.0001035
296.5,0.0001319
297.0,0.0001652
297.5,0.0003961
298.0,0.0005704
298.5,0.0005352
299.0,0.001102
299.5,0.001621
300.0,0.001714
300.5,0.002318
301.0,0.003775
301.5,0.005443
302.0,0.004305
302.5,0.007651
303.0,0.01219
303.5,0.01446
304.0,0.01303
304.5,0.01751
305.0,0.02305
305.5,0.0242
306.0,0.02264
306.5,0.02668
307.0,0.03519
307.5,0.04199
308.0,0.04355
308.5,0.05523
309.0,0.04766
309.5,0.04962
310.0,0.04767
310.5,0.07545
311.0,0.09121
311.5,0.08644
312.0,0.08015
312.5,0.09278
313.0,0.09794
313.5,0.09688
314.0,0.114
314.5,0.09381
315.0,0.1214
315.5,0.1047
316.0,0.08603
316.5,0.1173
317.0,0.1451
317.5,0.1524
318.0,0.1146
318.5,0.1334
319.0,0.1531
319.5,0.1304
320.0,0.1579
320.5,0.1851
321.0,0.1557
321.5,0.148
322.0,0.1662
322.5,0.1434
323.0,0.137
323.5,0.1664
324.0,0.1924
324.5,0.1973
325.0,0.1684
325.5,0.2202
326.0,0.2595
326.5,0.2544
327.0,0.2543
327.5,0.2466
328.0,0.2239
328.5,0.2275
329.0,0.2655
329.5,0.2982
330.0,0.3012
330.5,0.2439
331.0,0.2489
331.5,0.2487
332.0,0.2631
332.5,0.2574
333.0,0.2567
333.5,0.2342
334.0,0.2393
334.5,0.2711
335.0,0.2518
335.5,0.304
336.0,0.2095
336.5,0.2363
337.0,0.1942
337.5,0.2409
338.0,0.2316
338.5,0.2742
339.0,0.2684
339.5,0.2585
340.0,0.2941
340.5,0.2638
341.0,0.2629
341.5,0.2376
342.0,0.282
342.5,0.2622
343.0,0.2892
343.5,0.2725
344.0,0.2137
344.5,0.2038
345.0,0.2646
345.5,0.2677
346.0,0.2259
346.5,0.2542
347.0,0.2731
347.5,0.2203
348.0,0.2486
348.5,0.2468
349.0,0.2277
349.5,0.2248
350.0,0.2768
350.5,0.2907
351.0,0.2593
351.5,0.2531
352.0,0.2694
352.5,0.2087
353.0,0.2612
353.5,0.2777
354.0,0.2866
354.5,0.2897
355.0,0.2881
355.5,0.2593
356.0,0.2704
356.5,0.23
357.0,0.1895
357.5,0.2311
358.0,0.1825
358.5,0.1554
359.0,0.2167
359.5,0.2757
360.0,0.2911
360.5,0.2317
361.0,0.2103
361.5,0.2409
362.0,0.2074
362.5,0.2857
363.0,0.2556
363.5,0.2344
364.0,0.2856
364.5,0.2432
365.0,0.2468
365.5,0.3085
366.0,0.3257
366.5,0.3048
367.0,0.2956
367.5,0.3055
368.0,0.2663
368.5,0.2679
369.0,0.2883
369.5,0.3064
370.0,0.3256
370.5,0.2519
371.0,0.2682
371.5,0.3344
372.0,0.2212
372.5,0.2643
373.0,0.2679
373.5,0.1737
374.0,0.2516
374.5,0.2077
375.0,0.2012
375.5,0.2993
376.0,0.2473
376.5,0.2555
377.0,0.2696
377.5,0.3144
378.0,0.3398
378.5,0.3203
379.0,0.2635
379.5,0.24
380.0,0.2487
380.5,0.3003
381.0,0.2999
381.5,0.2369
382.0,0.2096
382.5,0.178
383.0,0.1643
383.5,0.1577
384.0,0.1733
384.5,0.2541
385.0,0.2512
385.5,0.2332
386.0,0.1991
386.5,0.2608
387.0,0.216
387.5,0.2419
388.0,0.2227
388.5,0.2194
389.0,0.2362
389.5,0.2852
390.0,0.2853
390.5,0.2618
391.0,0.3072
391.5,0.3124
392.0,0.2623
392.5,0.2341
393.0,0.1299
393.5,0.09411
394.0,0.1909
394.5,0.242
395.0,0.2944
395.5,0.2981
396.0,0.2577
396.5,0.1502
397.0,0.1124
397.5,0.2278
398.0,0.3181
398.5,0.3278
399.0,0.3538
399.5,0.3516
400.0,0.364
401.0,0.376
402.0,0.3944
403.0,0.3725
404.0,0.3646
405.0,0.3624
406.0,0.3545
407.0,0.3468
408.0,0.3582
409.0,0.3812
410.0,0.3311
411.0,0.3566
412.0,0.3807
413.0,0.3692
414.0,0.3717
415.0,0.3705
416.0,0.3749
417.0,0.3637
418.0,0.3551
419.0,0.3578
420.0,0.3543
421.0,0.3687
422.0,0.3485
423.0,0.3386
424.0,0.3563
425.0,0.3538
426.0,0.3427
427.0,0.3345
428.0,0.3241
429.0,0.3054
430.0,0.2658
431.0,0.2622
432.0,0.3367
433.0,0.3368
434.0,0.3112
435.0,0.3234
436.0,0.3625
437.0,0.3556
438.0,0.3221
439.0,0.3315
440.0,0.3403
441.0,0.351
442.0,0.3746
443.0,0.3634
444.0,0.3692
445.0,0.3596
446.0,0.3415
447.0,0.3671
448.0,0.3711
449.0,0.3706
450.0,0.3791
451.0,0.3913
452.0,0.3752
453.0,0.3512
454.0,0.3648
455.0,0.3653
456.0,0.3722
457.0,0.3766
458.0,0.3622
459.0,0.3585
460.0,0.3579
461.0,0.3644
462.0,0.3655
463.0,0.3613
464.0,0.3536
465.0,0.3475
466.0,0.3493
467.0,0.3415
468.0,0.344
469.0,0.3444
470.0,0.3321
471.0,0.3302
472.0,0.3465
473.0,0.3407
474.0,0.3399
475.0,0.3417
476.0,0.3305
477.0,0.3303
478.0,0.3378
479.0,0.3338
480.0,0.3326
481.0,0.337
482.0,0.337
483.0,0.3313
484.0,0.3232
485.0,0.3066
486.0,0.2669
487.0,0.2785
488.0,0.3043
489.0,0.3041
490.0,0.3185
491.0,0.3117
492.0,0.2933
493.0,0.3017
494.0,0.3035
495.0,0.3049
496.0,0.3055
497.0,0.3091
498.0,0.2936
499.0,0.2962
500.0,0.2875
501.0,0.2812
502.0,0.2763
503.0,0.2868
504.0,0.2797
505.0,0.2873
506.0,0.2958
507.0,0.2807
508.0,0.2708
509.0,0.2772
510.0,0.2746
511.0,0.2808
512.0,0.2829
513.0,0.267
514.0,0.2643
515.0,0.2608
516.0,0.2595
517.0,0.2298
518.0,0.2408
519.0,0.2518
520.0,0.2602
521.0,0.2617
522.0,0.2611
523.0,0.2557
524.0,0.2641
525.0,0.2664
526.0,0.2536
527.0,0.2383
528.0,0.2511
529.0,0.2636
530.0,0.2589
531.0,0.2619
532.0,0.252
533.0,0.2437
534.0,0.2499
535.0,0.2542
536.0,0.2554
537.0,0.2444
538.0,0.2478
539.0,0.2448
540.0,0.2339
541.0,0.2348
542.0,0.2413
543.0,0.2376
544.0,0.241
545.0,0.2391
546.0,0.2393
547.0,0.2378
548.0,0.2338
549.0,0.2336
550.0,0.2356
551.0,0.2319
552.0,0.2325
553.0,0.2274
554.0,0.2318
555.0,0.2312
556.0,0.2272
557.0,0.2193
558.0,0.2167
559.0,0.2117
560.0,0.2135
561.0,0.2155
562.0,0.2131
563.0,0.2181
564.0,0.2114
565.0,0.2087
566.0,0.2048
567.0,0.2078
568.0,0.2055
569.0,0.2007
570.0,0.1996
571.0,0.1972
572.0,0.2017
573.0,0.2031
574.0,0.2018
575.0,0.1974
576.0,0.1948
577.0,0.196
578.0,0.1921
579.0,0.1918
580.0,0.194
581.0,0.1939
582.0,0.1965
583.0,0.1961
584.0,0.1969
585.0,0.1912
586.0,0.1865
587.0,0.1899
588.0,0.1857
589.0,0.166
590.0,0.1729
591.0,0.1808
592.0,0.1789
593.0,0.1798
594.0,0.1785
595.0,0.1742
596.0,0.1785
597.0,0.1763
598.0,0.1749
599.0,0.1743
600.0,0.1735
601.0,0.1711
602.0,0.1691
603.0,0.171
604.0,0.173
605.0,0.1714
606.0,0.1703
607.0,0.1716
608.0,0.1692
609.0,0.169
610.0,0.167
611.0,0.1675
612.0,0.1663
613.0,0.1637
614.0,0.1609
615.0,0.1639
616.0,0.158
617.0,0.1571
618.0,0.1626
619.0,0.1604
620.0,0.1608
621.0,0.1601
622.0,0.1564
623.0,0.1522
624.0,0.1498
625.0,0.1502
626.0,0.1524
627.0,0.1541
628.0,0.1465
629.0,0.1508
630.0,0.1471
631.0,0.1493
632.0,0.1474
633.0,0.1514
634.0,0.1492
635.0,0.1509
636.0,0.1482
637.0,0.1499
638.0,0.1506
