Wvlgth,Global_horizn_irradiance
280.0,1.3990000000000002e-20
280.5,3.678e-19
281.0,1.923e-18
281.5,8.244e-19
282.0,3.591e-18
282.5,1.01e-17
283.0,3.341e-17
283.5,5.45e-17
284.0,7.935e-16
284.5,2.295e-15
285.0,3.326e-15
285.5,1.644e-14
286.0,6.576e-14
286.5,2.796e-13
287.0,7.68e-13
287.5,2.735e-12
288.0,6.667e-12
288.5,2.099e-11
289.0,5.608e-11
289.5,1.668e-10
290.0,4.511e-10
290.5,9.022e-10
291.0,1.874e-09
291.5,4.448e-09
292.0,1.034e-08
292.5,1.473e-08
293.0,3.179e-08
293.5,7.774e-08
294.0,1.232e-07
294.5,2.075e-07
295.0,3.518e-07
295.5,8.053e-07
296.0,1.551e-06
296.5,2.206e-06
297.0,3.035e-06
297.5,8.42e-06
298.0,1.385e-05
298.5,1.449e-05
299.0,3.335e-05
299.5,5.991e-05
300.0,7.249e-05
300.5,0.0001121
301.0,0.0002314
301.5,0.0004205
302.0,0.0003523
302.5,0.0006936
303.0,0.00126
303.5,0.001667
304.0,0.00159
304.5,0.002441
305.0,0.003845
305.5,0.004525
306.0,0.00444
306.5,0.005628
307.0,0.008632
307.5,0.01188
308.0,0.01268
308.5,0.01628
309.0,0.01462
309.5,0.01699
310.0,0.01722
310.5,0.02807
311.0,0.03545
311.5,0.03434
312.0,0.03476
312.5,0.04268
313.0,0.04659
313.5,0.04516
314.0,0.05689
314.5,0.05107
315.0,0.06745
315.5,0.05622
316.0,0.04955
316.5,0.07175
317.0,0.08915
317.5,0.09265
318.0,0.07266
318.5,0.09119
319.0,0.1089
319.5,0.0881
320.0,0.1063
320.5,0.1343
321.0,0.1207
321.5,0.116
322.0,0.1225
322.5,0.1065
323.0,0.1067
323.5,0.131
324.0,0.1532
324.5,0.1553
325.0,0.1346
325.5,0.1735
326.0,0.211
326.5,0.2119
327.0,0.2111
327.5,0.2037
328.0,0.1808
328.5,0.1905
329.0,0.2288
329.5,0.2601
330.0,0.2622
330.5,0.2092
331.0,0.2129
331.5,0.2167
332.0,0.2349
332.5,0.2328
333.0,0.2319
333.5,0.2093
334.0,0.2142
334.5,0.2477
335.0,0.2332
335.5,0.2726
336.0,0.1886
336.5,0.2205
337.0,0.1807
337.5,0.2245
338.0,0.2196
338.5,0.2534
339.0,0.2506
339.5,0.2412
340.0,0.2835
