Wvlgth,Global_horizn_irradiance
280.0,2.0039999999999998e-23
280.5,8.523e-22
281.0,4.709e-21
281.5,1.938e-19
282.0,1.726e-18
282.5,5.852e-19
283.0,8.568e-19
283.5,1.236e-18
284.0,1.901e-17
284.5,5.66e-17
285.0,1.209e-16
285.5,9.227e-16
286.0,3.504e-15
286.5,1.557e-14
287.0,4.563e-14
287.5,1.864e-13
288.0,7.693e-13
288.5,2.885e-12
289.0,7.224e-12
289.5,2.26e-11
290.0,6.566e-11
290.5,1.39e-10
291.0,3.146e-10
291.5,9.795e-10
292.0,2.383e-09
292.5,3.104e-09
293.0,7.213e-09
293.5,1.956e-08
294.0,3.264e-08
294.5,5.701e-08
295.0,1.03e-07
295.5,2.593e-07
296.0,4.762e-07
296.5,6.087e-07
297.0,8.629e-07
297.5,2.54e-06
298.0,4.353e-06
298.5,4.675e-06
299.0,1.104e-05
299.5,2.112e-05
300.0,2.427e-05
300.5,3.826e-05
301.0,7.983e-05
301.5,0.0001458
302.0,0.0001341
302.5,0.0003292
303.0,0.0006336
303.5,0.0008245
304.0,0.0007765
304.5,0.001218
305.0,0.002052
305.5,0.002499
306.0,0.002472
306.5,0.003207
307.0,0.005205
307.5,0.007518
308.0,0.008004
308.5,0.009841
309.0,0.009286
309.5,0.01271
310.0,0.0131
310.5,0.02145
311.0,0.02751
311.5,0.02675
312.0,0.02802
312.5,0.0351
313.0,0.03859
313.5,0.0368
314.0,0.04772
314.5,0.04432
315.0,0.05856
315.5,0.04777
316.0,0.04337
316.5,0.06424
317.0,0.07945
317.5,0.08177
318.0,0.06519
318.5,0.08429
319.0,0.1019
319.5,0.08021
320.0,0.09632
320.5,0.1256
321.0,0.1159
321.5,0.1112
322.0,0.1138
322.5,0.09922
323.0,0.1014
323.5,0.1283
324.0,0.15
324.5,0.1505
325.0,0.1273
325.5,0.167
326.0,0.2068
326.5,0.2096
327.0,0.2076
327.5,0.1992
328.0,0.1743
328.5,0.1871
329.0,0.2275
329.5,0.259
330.0,0.26
330.5,0.2054
331.0,0.2083
331.5,0.2138
332.0,0.234
332.5,0.2326
333.0,0.231
333.5,0.2069
334.0,0.2117
334.5,0.2468
335.0,0.2332
335.5,0.2726
336.0,0.1886
336.5,0.2198
337.0,0.1794
337.5,0.2227
338.0,0.2193
338.5,0.2535
339.0,0.2508
339.5,0.2413
340.0,0.2828
340.5,0.2552
341.0,0.2494
341.5,0.229
342.0,0.2735
342.5,0.2561
343.0,0.2816
343.5,0.2651
344.0,0.1954
344.5,0.1978
345.0,0.2618
345.5,0.2673
346.0,0.2272
346.5,0.2573
347.0,0.2761
347.5,0.2232
348.0,0.2545
348.5,0.2544
349.0,0.236
349.5,0.2337
350.0,0.289
350.5,0.3047
351.0,0.272
351.5,0.2643
352.0,0.284
352.5,0.2216
353.0,0.2791
353.5,0.2982
354.0,0.3092
354.5,0.3138
355.0,0.3129
355.5,0.283
356.0,0.2963
356.5,0.2531
357.0,0.2092
357.5,0.2561
358.0,0.2031
358.5,0.1736
359.0,0.2429
359.5,0.3096
360.0,0.3283
360.5,0.2624
361.0,0.2392
361.5,0.2753
362.0,0.2379
362.5,0.3291
363.0,0.2955
363.5,0.2721
364.0,0.3327
364.5,0.2843
365.0,0.2895
365.5,0.3633
366.0,0.385
366.5,0.3616
367.0,0.3521
367.5,0.3651
368.0,0.3193
368.5,0.3224
369.0,0.3483
369.5,0.3715
370.0,0.3963
370.5,0.3076
371.0,0.3288
371.5,0.4114
372.0,0.2731
372.5,0.3275
373.0,0.3332
373.5,0.2168
374.0,0.3151
374.5,0.261
375.0,0.2537
375.5,0.3788
376.0,0.3141
376.5,0.3255
377.0,0.3448
377.5,0.4035
378.0,0.4376
378.5,0.4138
379.0,0.3416
379.5,0.3121
380.0,0.3246
380.5,0.3932
381.0,0.3941
381.5,0.3123
382.0,0.2774
382.5,0.2364
383.0,0.2189
383.5,0.2108
384.0,0.2325
384.5,0.3421
385.0,0.3393
385.5,0.3161
386.0,0.2708
386.5,0.3559
387.0,0.2958
387.5,0.3324
388.0,0.307
388.5,0.3035
389.0,0.3277
389.5,0.397
390.0,0.3986
390.5,0.3669
391.0,0.432
391.5,0.4407
392.0,0.3712
392.5,0.3325
393.0,0.1851
393.5,0.1345
394.0,0.2738
394.5,0.3482
395.0,0.4249
395.5,0.4316
396.0,0.3743
396.5,0.2189
397.0,0.1643
397.5,0.3343
398.0,0.4681
398.5,0.4839
399.0,0.5241
399.5,0.5225
400.0,0.5426
401.0,0.5576
402.0,0.5886
403.0,0.5594
404.0,0.5509
405.0,0.5508
406.0,0.5422
407.0,0.5337
408.0,0.5544
409.0,0.5936
410.0,0.5186
411.0,0.5619
412.0,0.6036
413.0,0.5887
414.0,0.5962
415.0,0.5978
416.0,0.6085
417.0,0.5937
418.0,0.5829
419.0,0.5907
420.0,0.5882
421.0,0.6156
422.0,0.5852
423.0,0.5716
424.0,0.6047
425.0,0.6039
426.0,0.5882
427.0,0.5773
428.0,0.5625
429.0,0.533
430.0,0.4665
431.0,0.4624
432.0,0.5972
433.0,0.6005
434.0,0.5577
435.0,0.5825
436.0,0.6565
437.0,0.6476
438.0,0.5896
439.0,0.6095
440.0,0.6289
441.0,0.6519
442.0,0.6993
443.0,0.6821
444.0,0.6963
445.0,0.6815
446.0,0.6508
447.0,0.7032
448.0,0.7139
449.0,0.7166
450.0,0.7366
451.0,0.7639
452.0,0.7361
453.0,0.6924
454.0,0.7228
455.0,0.7271
456.0,0.7443
457.0,0.7564
458.0,0.7303
459.0,0.726
