Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.3245E+03 .8013E+00 .2191E+00 .2228E+00 .4102E+00
.3250E+03 .7601E+00 .2005E+00 .1898E+00 .3613E+00
.3255E+03 .9125E+00 .2491E+00 .2492E+00 .4623E+00
.3260E+03 .1020E+01 .2913E+00 .2929E+00 .5421E+00
.3265E+03 .9665E+00 .2845E+00 .2867E+00 .5300E+00
.3270E+03 .9783E+00 .2872E+00 .2869E+00 .5326E+00
.3275E+03 .9656E+00 .2818E+00 .2787E+00 .5198E+00
.3280E+03 .9239E+00 .2612E+00 .2540E+00 .4774E+00
.3285E+03 .8854E+00 .2628E+00 .2573E+00 .4822E+00
.3290E+03 .9928E+00 .3048E+00 .2995E+00 .5602E+00
.3295E+03 .1104E+01 .3433E+00 .3363E+00 .6300E+00
.3300E+03 .1127E+01 .3500E+00 .3401E+00 .6395E+00
.3305E+03 .9429E+00 .2883E+00 .2764E+00 .5230E+00
.3310E+03 .9744E+00 .2971E+00 .2823E+00 .5365E+00
.3315E+03 .9516E+00 .2966E+00 .2819E+00 .5356E+00
.3320E+03 .9754E+00 .3123E+00 .2976E+00 .5647E+00
.3325E+03 .9425E+00 .3058E+00 .2909E+00 .5525E+00
.3330E+03 .9492E+00 .3079E+00 .2905E+00 .5539E+00
.3335E+03 .8885E+00 .2852E+00 .2658E+00 .5097E+00
.3340E+03 .9131E+00 .2937E+00 .2718E+00 .5230E+00
.3345E+03 .1008E+01 .3317E+00 .3075E+00 .5912E+00
.3350E+03 .9247E+00 .3083E+00 .2854E+00 .5491E+00
.3355E+03 .1039E+01 .3498E+00 .3462E+00 .6453E+00
.3360E+03 .7171E+00 .2424E+00 .2388E+00 .4461E+00
.3365E+03 .8774E+00 .2956E+00 .2685E+00 .5213E+00
.3370E+03 .7297E+00 .2454E+00 .2210E+00 .4309E+00
.3375E+03 .9106E+00 .3069E+00 .2745E+00 .5370E+00
.3380E+03 .8594E+00 .2946E+00 .2636E+00 .5156E+00
.3385E+03 .9603E+00 .3320E+00 .3133E+00 .5973E+00
.3390E+03 .9510E+00 .3308E+00 .3067E+00 .5897E+00
.3395E+03 .9095E+00 .3177E+00 .2957E+00 .5675E+00
.3400E+03 .1099E+01 .3833E+00 .3355E+00 .6634E+00
.3405E+03 .9851E+00 .3456E+00 .3010E+00 .5967E+00
.3410E+03 .9347E+00 .3312E+00 .3012E+00 .5845E+00
.3415E+03 .8610E+00 .3071E+00 .2722E+00 .5349E+00
.3420E+03 .1028E+01 .3682E+00 .3232E+00 .6382E+00
.3425E+03 .9602E+00 .3458E+00 .3007E+00 .5965E+00
.3430E+03 .1051E+01 .3797E+00 .3320E+00 .6568E+00
.3435E+03 .9861E+00 .3572E+00 .3131E+00 .6186E+00
.3440E+03 .7431E+00 .2686E+00 .2462E+00 .4760E+00
.3445E+03 .7286E+00 .2656E+00 .2347E+00 .4619E+00
.3450E+03 .9677E+00 .3556E+00 .3046E+00 .6088E+00
.3455E+03 .9870E+00 .3647E+00 .3083E+00 .6202E+00
.3460E+03 .8377E+00 .3110E+00 .2602E+00 .5263E+00
.3465E+03 .9469E+00 .3531E+00 .2930E+00 .5951E+00
.3470E+03 .1012E+01 .3787E+00 .3151E+00 .6390E+00
.3475E+03 .8158E+00 .3063E+00 .2544E+00 .5164E+00
.3480E+03 .9305E+00 .3511E+00 .2871E+00 .5875E+00
.3485E+03 .9299E+00 .3523E+00 .2851E+00 .5864E+00
.3490E+03 .8606E+00 .3275E+00 .2632E+00 .5434E+00
.3495E+03 .8493E+00 .3246E+00 .2600E+00 .5377E+00
.3500E+03 .1048E+01 .4022E+00 .3203E+00 .6643E+00
.3505E+03 .1103E+01 .4249E+00 .3366E+00 .7001E+00
.3510E+03 .9832E+00 .3797E+00 .3005E+00 .6253E+00
.3515E+03 .9510E+00 .3681E+00 .2937E+00 .6086E+00
.3520E+03 .1021E+01 .3972E+00 .3127E+00 .6524E+00
.3525E+03 .7960E+00 .3110E+00 .2423E+00 .5083E+00
.3530E+03 .1001E+01 .3926E+00 .3035E+00 .6393E+00
.3535E+03 .1068E+01 .4205E+00 .3227E+00 .6824E+00
.3540E+03 .1108E+01 .4373E+00 .3333E+00 .7074E+00
.3545E+03 .1123E+01 .4445E+00 .3372E+00 .7174E+00
.3550E+03 .1117E+01 .4438E+00 .3355E+00 .7152E+00
.3555E+03 .1006E+01 .4018E+00 .3022E+00 .6459E+00
.3560E+03 .1051E+01 .4213E+00 .3152E+00 .6756E+00
.3565E+03 .8965E+00 .3605E+00 .2684E+00 .5768E+00
.3570E+03 .7403E+00 .2985E+00 .2212E+00 .4766E+00
.3575E+03 .9054E+00 .3662E+00 .2700E+00 .5833E+00
.3580E+03 .7166E+00 .2909E+00 .2133E+00 .4621E+00
.3585E+03 .6117E+00 .2491E+00 .1818E+00 .3948E+00
.3590E+03 .8547E+00 .3491E+00 .2537E+00 .5523E+00
.3595E+03 .1088E+01 .4456E+00 .3230E+00 .7041E+00
.3600E+03 .1152E+01 .4733E+00 .3412E+00 .7461E+00
.3605E+03 .9195E+00 .3790E+00 .2717E+00 .5959E+00
.3610E+03 .8365E+00 .3460E+00 .2467E+00 .5427E+00
.3615E+03 .9596E+00 .3986E+00 .2829E+00 .6238E+00
.3620E+03 .8267E+00 .3448E+00 .2437E+00 .5386E+00
.3625E+03 .1140E+01 .4774E+00 .3359E+00 .7443E+00
.3630E+03 .1021E+01 .4290E+00 .3006E+00 .6676E+00
.3635E+03 .9378E+00 .3955E+00 .2760E+00 .6143E+00
.3640E+03 .1144E+01 .4841E+00 .3364E+00 .7505E+00
.3645E+03 .9764E+00 .4144E+00 .2866E+00 .6410E+00
.3650E+03 .9928E+00 .4226E+00 .2910E+00 .6525E+00
.3655E+03 .1244E+01 .5310E+00 .3641E+00 .8183E+00
.3660E+03 .1315E+01 .5633E+00 .3846E+00 .8664E+00
.3665E+03 .1232E+01 .5297E+00 .3601E+00 .8132E+00
.3670E+03 .1198E+01 .5165E+00 .3495E+00 .7913E+00
.3675E+03 .1242E+01 .5366E+00 .3614E+00 .8205E+00
.3680E+03 .1085E+01 .4701E+00 .3152E+00 .7173E+00
.3685E+03 .1093E+01 .4750E+00 .3173E+00 .7236E+00
.3690E+03 .1178E+01 .5137E+00 .3418E+00 .7812E+00
.3695E+03 .1254E+01 .5485E+00 .3634E+00 .8326E+00
.3700E+03 .1334E+01 .5857E+00 .3864E+00 .8874E+00
.3705E+03 .1034E+01 .4552E+00 .2991E+00 .6884E+00
.3710E+03 .1102E+01 .4870E+00 .3187E+00 .7353E+00
.3715E+03 .1378E+01 .6102E+00 .3976E+00 .9195E+00
.3720E+03 .9135E+00 .4056E+00 .2631E+00 .6101E+00
.3725E+03 .1094E+01 .4870E+00 .3146E+00 .7311E+00
.3730E+03 .1110E+01 .4959E+00 .3191E+00 .7433E+00
.3735E+03 .7210E+00 .3230E+00 .2071E+00 .4834E+00
.3740E+03 .1046E+01 .4700E+00 .3000E+00 .7021E+00
.3745E+03 .8648E+00 .3897E+00 .2478E+00 .5812E+00
.3750E+03 .8397E+00 .3794E+00 .2402E+00 .5647E+00
.3755E+03 .1253E+01 .5672E+00 .3576E+00 .8429E+00
.3760E+03 .1037E+01 .4709E+00 .2957E+00 .6985E+00
.3765E+03 .1074E+01 .4888E+00 .3056E+00 .7237E+00
.3770E+03 .1135E+01 .5182E+00 .3227E+00 .7659E+00
.3775E+03 .1326E+01 .6071E+00 .3766E+00 .8959E+00
.3780E+03 .1437E+01 .6592E+00 .4073E+00 .9711E+00
.3785E+03 .1357E+01 .6242E+00 .3841E+00 .9180E+00
.3790E+03 .1120E+01 .5161E+00 .3162E+00 .7576E+00
.3795E+03 .1023E+01 .4723E+00 .2881E+00 .6921E+00
.3800E+03 .1063E+01 .4917E+00 .2988E+00 .7194E+00
.3805E+03 .1285E+01 .5962E+00 .3609E+00 .8709E+00
.3810E+03 .1285E+01 .5980E+00 .3607E+00 .8722E+00
.3815E+03 .1016E+01 .4743E+00 .2851E+00 .6908E+00
.3820E+03 .9005E+00 .4216E+00 .2524E+00 .6130E+00
.3825E+03 .7659E+00 .3596E+00 .2145E+00 .5221E+00
.3830E+03 .7078E+00 .3332E+00 .1980E+00 .4831E+00
.3835E+03 .6806E+00 .3212E+00 .1902E+00 .4650E+00
.3840E+03 .7499E+00 .3547E+00 .2092E+00 .5126E+00
.3845E+03 .1101E+01 .5223E+00 .3069E+00 .7537E+00
.3850E+03 .1091E+01 .5186E+00 .3035E+00 .7471E+00
.3855E+03 .1014E+01 .4835E+00 .2820E+00 .6955E+00
.3860E+03 .8674E+00 .4146E+00 .2409E+00 .5956E+00
.3865E+03 .1137E+01 .5452E+00 .3157E+00 .7820E+00
.3870E+03 .9444E+00 .4537E+00 .2617E+00 .6497E+00
.3875E+03 .1060E+01 .5102E+00 .2932E+00 .7296E+00
.3880E+03 .9773E+00 .4717E+00 .2700E+00 .6735E+00
.3885E+03 .9646E+00 .4667E+00 .2663E+00 .6655E+00
.3890E+03 .1040E+01 .5045E+00 .2867E+00 .7182E+00
.3895E+03 .1259E+01 .6117E+00 .3464E+00 .8696E+00
.3900E+03 .1261E+01 .6146E+00 .3468E+00 .8725E+00
.3905E+03 .1160E+01 .5663E+00 .3183E+00 .8027E+00
.3910E+03 .1363E+01 .6673E+00 .3738E+00 .9446E+00
.3915E+03 .1389E+01 .6815E+00 .3803E+00 .9632E+00
.3920E+03 .1169E+01 .5747E+00 .3195E+00 .8111E+00
.3925E+03 .1045E+01 .5150E+00 .2854E+00 .7259E+00
.3930E+03 .5807E+00 .2869E+00 .1584E+00 .4038E+00
.3935E+03 .4215E+00 .2087E+00 .1148E+00 .2934E+00
.3940E+03 .8568E+00 .4252E+00 .2331E+00 .5968E+00
.3945E+03 .1088E+01 .5411E+00 .2956E+00 .7585E+00
.3950E+03 .1326E+01 .6610E+00 .3598E+00 .9252E+00
.3955E+03 .1347E+01 .6723E+00 .3646E+00 .9396E+00
.3960E+03 .1166E+01 .5835E+00 .3153E+00 .8144E+00
.3965E+03 .6805E+00 .3414E+00 .1839E+00 .4759E+00
.3970E+03 .5101E+00 .2565E+00 .1377E+00 .3570E+00
.3975E+03 .1036E+01 .5221E+00 .2793E+00 .7259E+00
.3980E+03 .1451E+01 .7322E+00 .3901E+00 .1016E+01
.3985E+03 .1499E+01 .7576E+00 .4022E+00 .1050E+01
.3990E+03 .1619E+01 .8208E+00 .4344E+00 .1137E+01
.3995E+03 .1612E+01 .8190E+00 .4319E+00 .1132E+01
.4000E+03 .1674E+01 .8516E+00 .4474E+00 .1176E+01
.4010E+03 .1715E+01 .8760E+00 .4621E+00 .1211E+01
.4020E+03 .1804E+01 .9258E+00 .4852E+00 .1277E+01
.4030E+03 .1709E+01 .8809E+00 .4587E+00 .1212E+01
.4040E+03 .1680E+01 .8690E+00 .4494E+00 .1193E+01
.4050E+03 .1677E+01 .8705E+00 .4472E+00 .1192E+01
.4060E+03 .1645E+01 .8576E+00 .4378E+00 .1171E+01
.4070E+03 .1614E+01 .8451E+00 .4288E+00 .1152E+01
.4080E+03 .1676E+01 .8800E+00 .4434E+00 .1196E+01
.4090E+03 .1791E+01 .9435E+00 .4723E+00 .1279E+01
.4100E+03 .1561E+01 .8255E+00 .4106E+00 .1117E+01
.4110E+03 .1687E+01 .8955E+00 .4427E+00 .1209E+01
.4120E+03 .1806E+01 .9628E+00 .4731E+00 .1297E+01
.4130E+03 .1761E+01 .9409E+00 .4593E+00 .1264E+01
.4140E+03 .1778E+01 .9539E+00 .4628E+00 .1279E+01
.4150E+03 .1778E+01 .9575E+00 .4618E+00 .1281E+01
.4160E+03 .1804E+01 .9756E+00 .4678E+00 .1302E+01
.4170E+03 .1758E+01 .9533E+00 .4543E+00 .1270E+01
.4180E+03 .1723E+01 .9374E+00 .4439E+00 .1246E+01
.4190E+03 .1742E+01 .9510E+00 .4477E+00 .1261E+01
.4200E+03 .1733E+01 .9485E+00 .4438E+00 .1255E+01
.4210E+03 .1809E+01 .9938E+00 .4622E+00 .1312E+01
.4220E+03 .1717E+01 .9461E+00 .4374E+00 .1247E+01
.4230E+03 .1674E+01 .9256E+00 .4254E+00 .1217E+01
.4240E+03 .1769E+01 .9808E+00 .4480E+00 .1287E+01
.4250E+03 .1763E+01 .9804E+00 .4454E+00 .1284E+01
.4260E+03 .1711E+01 .9556E+00 .4318E+00 .1249E+01
.4270E+03 .1677E+01 .9391E+00 .4218E+00 .1225E+01
.4280E+03 .1633E+01 .9164E+00 .4092E+00 .1193E+01
.4290E+03 .1542E+01 .8686E+00 .3859E+00 .1129E+01
.4300E+03 .1347E+01 .7611E+00 .3362E+00 .9872E+00
.4310E+03 .1335E+01 .7560E+00 .3319E+00 .9786E+00
.4320E+03 .1719E+01 .9770E+00 .4267E+00 .1262E+01
.4330E+03 .1726E+01 .9836E+00 .4273E+00 .1269E+01
.4340E+03 .1602E+01 .9149E+00 .3951E+00 .1178E+01
.4350E+03 .1673E+01 .9572E+00 .4110E+00 .1230E+01
.4360E+03 .1879E+01 .1079E+01 .4611E+00 .1384E+01
.4370E+03 .1848E+01 .1065E+01 .4528E+00 .1364E+01
.4380E+03 .1679E+01 .9710E+00 .4106E+00 .1241E+01
.4390E+03 .1740E+01 .1007E+01 .4230E+00 .1284E+01
.4400E+03 .1792E+01 .1040E+01 .4346E+00 .1324E+01
.4410E+03 .1852E+01 .1079E+01 .4486E+00 .1371E+01
.4420E+03 .1984E+01 .1158E+01 .4793E+00 .1470E+01
.4430E+03 .1934E+01 .1131E+01 .4653E+00 .1433E+01
.4440E+03 .1972E+01 .1156E+01 .4732E+00 .1462E+01
.4450E+03 .1930E+01 .1134E+01 .4613E+00 .1431E+01
.4460E+03 .1836E+01 .1082E+01 .4384E+00 .1364E+01
.4470E+03 .1980E+01 .1170E+01 .4718E+00 .1473E+01
.4480E+03 .2014E+01 .1191E+01 .4774E+00 .1496E+01
.4490E+03 .2014E+01 .1196E+01 .4772E+00 .1500E+01
.4500E+03 .2066E+01 .1231E+01 .4886E+00 .1541E+01
.4510E+03 .2141E+01 .1278E+01 .5048E+00 .1598E+01
.4520E+03 .2060E+01 .1233E+01 .4844E+00 .1539E+01
.4530E+03 .1935E+01 .1161E+01 .4539E+00 .1447E+01
.4540E+03 .2016E+01 .1212E+01 .4719E+00 .1509E+01
.4550E+03 .2027E+01 .1221E+01 .4730E+00 .1518E+01
.4560E+03 .2073E+01 .1252E+01 .4824E+00 .1553E+01
.4570E+03 .2106E+01 .1274E+01 .4886E+00 .1579E+01
.4580E+03 .2036E+01 .1233E+01 .4703E+00 .1525E+01
.4590E+03 .2023E+01 .1228E+01 .4661E+00 .1517E+01
.4600E+03 .2028E+01 .1233E+01 .4657E+00 .1521E+01
.4610E+03 .2073E+01 .1263E+01 .4746E+00 .1555E+01
.4620E+03 .2085E+01 .1274E+01 .4764E+00 .1566E+01
.4630E+03 .2071E+01 .1267E+01 .4714E+00 .1555E+01
.4640E+03 .2031E+01 .1246E+01 .4617E+00 .1527E+01
.4650E+03 .2000E+01 .1231E+01 .4541E+00 .1507E+01
.4660E+03 .2016E+01 .1243E+01 .4568E+00 .1520E+01
.4670E+03 .1981E+01 .1223E+01 .4469E+00 .1493E+01
.4680E+03 .2003E+01 .1239E+01 .4507E+00 .1511E+01
.4690E+03 .2013E+01 .1247E+01 .4517E+00 .1519E+01
.4700E+03 .1949E+01 .1209E+01 .4359E+00 .1470E+01
.4710E+03 .1945E+01 .1209E+01 .4338E+00 .1468E+01
.4720E+03 .2050E+01 .1276E+01 .4556E+00 .1547E+01
.4730E+03 .2024E+01 .1262E+01 .4484E+00 .1528E+01
.4740E+03 .2030E+01 .1266E+01 .4477E+00 .1531E+01
.4750E+03 .2052E+01 .1281E+01 .4505E+00 .1546E+01
.4760E+03 .1995E+01 .1246E+01 .4362E+00 .1502E+01
.4770E+03 .2004E+01 .1253E+01 .4363E+00 .1508E+01
.4780E+03 .2056E+01 .1288E+01 .4466E+00 .1549E+01
.4790E+03 .2039E+01 .1280E+01 .4418E+00 .1537E+01
.4800E+03 .2038E+01 .1282E+01 .4406E+00 .1537E+01
.4810E+03 .2070E+01 .1306E+01 .4469E+00 .1564E+01
.4820E+03 .2075E+01 .1312E+01 .4473E+00 .1570E+01
.4830E+03 .2044E+01 .1296E+01 .4402E+00 .1549E+01
.4840E+03 .1999E+01 .1270E+01 .4296E+00 .1516E+01
