Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.2800E+03 .8116E-01 .2999E-42 .2004E-22 .2004E-22
.2805E+03 .1058E+00 .1852E-39 .8523E-21 .8523E-21
.2810E+03 .1775E+00 .2633E-38 .4709E-20 .4709E-20
.2815E+03 .2493E+00 .1456E-35 .1938E-18 .1938E-18
.2820E+03 .3016E+00 .6128E-34 .1726E-17 .1726E-17
.2825E+03 .3250E+00 .7212E-33 .5852E-18 .5852E-18
.2830E+03 .3547E+00 .1102E-31 .8568E-18 .8568E-18
.2835E+03 .3334E+00 .3858E-31 .1236E-17 .1236E-17
.2840E+03 .3322E+00 .2014E-28 .1901E-16 .1901E-16
.2845E+03 .2601E+00 .2529E-27 .5660E-16 .5660E-16
.2850E+03 .1226E+00 .2497E-26 .1209E-15 .1209E-15
.2855E+03 .1424E+00 .1057E-24 .9227E-15 .9227E-15
.2860E+03 .3110E+00 .9576E-24 .3504E-14 .3504E-14
.2865E+03 .3704E+00 .2287E-22 .1557E-13 .1557E-13
.2870E+03 .3908E+00 .2165E-21 .4563E-13 .4563E-13
.2875E+03 .3912E+00 .3914E-20 .1864E-12 .1864E-12
.2880E+03 .2590E+00 .9925E-19 .7693E-12 .7693E-12
.2885E+03 .3712E+00 .9604E-18 .2885E-11 .2885E-11
.2890E+03 .4346E+00 .8241E-17 .7224E-11 .7224E-11
.2895E+03 .5080E+00 .8487E-16 .2260E-10 .2260E-10
.2900E+03 .6390E+00 .6401E-15 .6566E-10 .6566E-10
.2905E+03 .6682E+00 .2959E-14 .1390E-09 .1390E-09
.2910E+03 .6307E+00 .1690E-13 .3146E-09 .3146E-09
.2915E+03 .6227E+00 .1680E-12 .9794E-09 .9795E-09
.2920E+03 .5925E+00 .1042E-11 .2383E-08 .2383E-08
.2925E+03 .5136E+00 .2549E-11 .3103E-08 .3104E-08
.2930E+03 .5867E+00 .1122E-10 .7208E-08 .7213E-08
.2935E+03 .5958E+00 .7201E-10 .1953E-07 .1956E-07
.2940E+03 .5213E+00 .2155E-09 .3256E-07 .3264E-07
