Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.2800E+03 .8116E-01 .0000E+00 .5959E-23 .5959E-23
.2805E+03 .1058E+00 .0000E+00 .2592E-21 .2592E-21
.2810E+03 .1775E+00 .0000E+00 .1443E-20 .1443E-20
.2815E+03 .2493E+00 .0000E+00 .6069E-19 .6069E-19
.2820E+03 .3016E+00 .7287E-43 .5473E-18 .5473E-18
.2825E+03 .3250E+00 .1617E-41 .4540E-18 .4540E-18
.2830E+03 .3547E+00 .4970E-40 .6288E-18 .6288E-18
.2835E+03 .3334E+00 .2464E-39 .9044E-18 .9044E-18
.2840E+03 .3322E+00 .6740E-36 .1407E-16 .1407E-16
.2845E+03 .2601E+00 .1763E-34 .4222E-16 .4222E-16
.2850E+03 .1226E+00 .3892E-33 .9105E-16 .9105E-16
.2855E+03 .1424E+00 .4267E-31 .5880E-15 .5880E-15
.2860E+03 .3110E+00 .5632E-30 .2273E-14 .2273E-14
.2865E+03 .3704E+00 .2973E-28 .1037E-13 .1037E-13
.2870E+03 .3908E+00 .5030E-27 .3083E-13 .3083E-13
.2875E+03 .3912E+00 .1955E-25 .1279E-12 .1279E-12
.2880E+03 .2590E+00 .1301E-23 .5371E-12 .5371E-12
.2885E+03 .3712E+00 .2086E-22 .2030E-11 .2030E-11
.2890E+03 .4346E+00 .3032E-21 .5472E-11 .5472E-11
.2895E+03 .5080E+00 .5553E-20 .1664E-10 .1664E-10
.2900E+03 .6390E+00 .6728E-19 .4768E-10 .4768E-10
.2905E+03 .6681E+00 .4609E-18 .1001E-09 .1001E-09
.2910E+03 .6307E+00 .4239E-17 .2252E-09 .2252E-09
.2915E+03 .6227E+00 .7761E-16 .6983E-09 .6983E-09
.2920E+03 .5925E+00 .7909E-15 .1696E-08 .1696E-08
.2925E+03 .5136E+00 .2545E-14 .2164E-08 .2164E-08
.2930E+03 .5867E+00 .1601E-13 .4887E-08 .4887E-08
.2935E+03 .5958E+00 .1673E-12 .1280E-07 .1280E-07
.2940E+03 .5213E+00 .6933E-12 .2089E-07 .2089E-07
.2945E+03 .5621E+00 .2419E-11 .3726E-07 .3726E-07
.2950E+03 .5338E+00 .1020E-10 .6611E-07 .6611E-07
.2955E+03 .6021E+00 .7323E-10 .1626E-06 .1626E-06
.2960E+03 .6424E+00 .2725E-09 .2932E-06 .2933E-06
.2965E+03 .5096E+00 .7060E-09 .3080E-06 .3082E-06
.2970E+03 .4387E+00 .1557E-08 .4321E-06 .4327E-06
.2975E+03 .6182E+00 .8255E-08 .1228E-05 .1231E-05
.2980E+03 .5769E+00 .2234E-07 .2029E-05 .2036E-05
.2985E+03 .3918E+00 .3329E-07 .2110E-05 .2121E-05
.2990E+03 .5966E+00 .1057E-06 .4810E-05 .4844E-05
