Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.2800E+03 .7861E-01 .6519E-23 .8850E-18 .8851E-18
.2805E+03 .1025E+00 .2092E-21 .5266E-19 .5281E-19
.2810E+03 .1719E+00 .1200E-20 .1677E-18 .1685E-18
.2815E+03 .2415E+00 .3731E-19 .1928E-17 .1954E-17
.2820E+03 .2922E+00 .3092E-18 .9880E-17 .1009E-16
.2825E+03 .3148E+00 .1215E-17 .2887E-16 .2972E-16
.2830E+03 .3436E+00 .5494E-17 .9629E-16 .1001E-15
.2835E+03 .3229E+00 .1044E-16 .1574E-15 .1646E-15
.2840E+03 .3217E+00 .2595E-15 .2138E-14 .2319E-14
.2845E+03 .2519E+00 .9176E-15 .7354E-14 .7993E-14
.2850E+03 .1187E+00 .2158E-14 .1369E-13 .1519E-13
.2855E+03 .1380E+00 .1657E-13 .8024E-13 .9177E-13
.2860E+03 .3012E+00 .7871E-13 .3388E-12 .3936E-12
.2865E+03 .3588E+00 .4498E-12 .1547E-11 .1860E-11
.2870E+03 .3785E+00 .1521E-11 .4417E-11 .5475E-11
.2875E+03 .3789E+00 .6902E-11 .1622E-10 .2102E-10
.2880E+03 .2509E+00 .3091E-10 .4424E-10 .6577E-10
.2885E+03 .3595E+00 .1239E-09 .1671E-09 .2534E-09
.2890E+03 .4209E+00 .4141E-09 .5282E-09 .8165E-09
.2895E+03 .4920E+00 .1541E-08 .1865E-08 .2937E-08
.2900E+03 .6189E+00 .4967E-08 .5778E-08 .9237E-08
.2905E+03 .6471E+00 .1151E-07 .1297E-07 .2098E-07
.2910E+03 .6109E+00 .2815E-07 .3086E-07 .5046E-07
.2915E+03 .6031E+00 .9260E-07 .9142E-07 .1559E-06
.2920E+03 .5739E+00 .2355E-06 .2331E-06 .3971E-06
.2925E+03 .4974E+00 .3576E-06 .3546E-06 .6036E-06
.2930E+03 .5683E+00 .8298E-06 .8362E-06 .1414E-05
.2935E+03 .5771E+00 .2213E-05 .2339E-05 .3880E-05
.2940E+03 .5049E+00 .3751E-05 .4152E-05 .6764E-05
.2945E+03 .5444E+00 .6645E-05 .6007E-05 .1063E-04
