Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.2800E+03 .8116E-01 .0000E+00 .1648E-23 .1648E-23
.2805E+03 .1058E+00 .0000E+00 .7298E-22 .7298E-22
.2810E+03 .1775E+00 .0000E+00 .4095E-21 .4095E-21
.2815E+03 .2493E+00 .0000E+00 .1753E-19 .1753E-19
.2820E+03 .3016E+00 .0000E+00 .1600E-18 .1600E-18
.2825E+03 .3250E+00 .0000E+00 .5204E-18 .5204E-18
.2830E+03 .3547E+00 .0000E+00 .4888E-18 .4888E-18
.2835E+03 .3334E+00 .0000E+00 .6839E-18 .6839E-18
.2840E+03 .3322E+00 .0000E+00 .1030E-16 .1030E-16
.2845E+03 .2601E+00 .0000E+00 .3098E-16 .3098E-16
.2850E+03 .1226E+00 .0000E+00 .6714E-16 .6714E-16
.2855E+03 .1424E+00 .2845E-42 .5094E-15 .5094E-15
.2860E+03 .3110E+00 .7249E-41 .1900E-14 .1900E-14
.2865E+03 .3704E+00 .1526E-38 .8339E-14 .8339E-14
.2870E+03 .3908E+00 .7107E-37 .2449E-13 .2449E-13
.2875E+03 .3912E+00 .1050E-34 .1010E-12 .1010E-12
.2880E+03 .2590E+00 .3756E-32 .4231E-12 .4231E-12
.2885E+03 .3712E+00 .1455E-30 .1604E-11 .1604E-11
.2890E+03 .4346E+00 .5301E-29 .4256E-11 .4256E-11
.2895E+03 .5080E+00 .2650E-27 .1253E-10 .1253E-10
.2900E+03 .6390E+00 .7342E-26 .3546E-10 .3546E-10
.2905E+03 .6681E+00 .9990E-25 .7408E-10 .7408E-10
.2910E+03 .6307E+00 .2109E-23 .1661E-09 .1661E-09
.2915E+03 .6227E+00 .1121E-21 .5144E-09 .5144E-09
.2920E+03 .5925E+00 .2714E-20 .1252E-08 .1252E-08
.2925E+03 .5136E+00 .1410E-19 .1622E-08 .1622E-08
.2930E+03 .5867E+00 .1653E-18 .3615E-08 .3615E-08
.2935E+03 .5958E+00 .4046E-17 .9319E-08 .9319E-08
.2940E+03 .5213E+00 .2958E-16 .1511E-07 .1511E-07
.2945E+03 .5621E+00 .1585E-15 .2588E-07 .2588E-07
.2950E+03 .5338E+00 .1152E-14 .4557E-07 .4557E-07
.2955E+03 .6021E+00 .1625E-13 .1112E-06 .1112E-06
.2960E+03 .6424E+00 .9539E-13 .1997E-06 .1997E-06
.2965E+03 .5096E+00 .3809E-12 .2071E-06 .2071E-06
.2970E+03 .4387E+00 .1184E-11 .2839E-06 .2839E-06
.2975E+03 .6182E+00 .1019E-10 .7757E-06 .7757E-06
.2980E+03 .5769E+00 .4066E-10 .1234E-05 .1234E-05
.2985E+03 .3918E+00 .8075E-10 .1243E-05 .1243E-05
.2990E+03 .5966E+00 .3354E-09 .2739E-05 .2739E-05
.2995E+03 .5394E+00 .1555E-08 .4566E-05 .4567E-05
.3000E+03 .4309E+00 .2691E-08 .4859E-05 .4860E-05
.3005E+03 .4542E+00 .6487E-08 .6978E-05 .6980E-05
