Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.2800E+03 .7861E-01 .8110E-36 .1399E-19 .1399E-19
.2805E+03 .1025E+00 .1691E-33 .3678E-18 .3678E-18
.2810E+03 .1719E+00 .1989E-32 .1923E-17 .1923E-17
.2815E+03 .2415E+00 .3777E-30 .8244E-18 .8244E-18
.2820E+03 .2922E+00 .9628E-29 .3591E-17 .3591E-17
.2825E+03 .3148E+00 .8055E-28 .1010E-16 .1010E-16
.2830E+03 .3436E+00 .8360E-27 .3341E-16 .3341E-16
.2835E+03 .3229E+00 .2398E-26 .5450E-16 .5450E-16
.2840E+03 .3217E+00 .3901E-24 .7935E-15 .7935E-15
.2845E+03 .2519E+00 .3328E-23 .2295E-14 .2295E-14
.2850E+03 .1187E+00 .2001E-22 .3326E-14 .3326E-14
.2855E+03 .1380E+00 .4629E-21 .1644E-13 .1644E-13
.2860E+03 .3012E+00 .3464E-20 .6576E-13 .6576E-13
.2865E+03 .3588E+00 .4948E-19 .2796E-12 .2796E-12
.2870E+03 .3785E+00 .3302E-18 .7680E-12 .7680E-12
.2875E+03 .3789E+00 .3625E-17 .2735E-11 .2735E-11
.2880E+03 .2509E+00 .4960E-16 .6667E-11 .6667E-11
.2885E+03 .3595E+00 .3627E-15 .2099E-10 .2099E-10
.2890E+03 .4209E+00 .2236E-14 .5608E-10 .5608E-10
.2895E+03 .4921E+00 .1636E-13 .1668E-09 .1668E-09
.2900E+03 .6189E+00 .9143E-13 .4511E-09 .4511E-09
.2905E+03 .6472E+00 .3370E-12 .9020E-09 .9022E-09
.2910E+03 .6109E+00 .1438E-11 .1873E-08 .1874E-08
.2915E+03 .6032E+00 .9557E-11 .4444E-08 .4448E-08
.2920E+03 .5739E+00 .4318E-10 .1032E-07 .1034E-07
.2925E+03 .4975E+00 .9094E-10 .1469E-07 .1473E-07
.2930E+03 .5683E+00 .3193E-09 .3165E-07 .3179E-07
.2935E+03 .5771E+00 .1497E-08 .7709E-07 .7774E-07
.2940E+03 .5049E+00 .3735E-08 .1216E-06 .1232E-06
.2945E+03 .5445E+00 .8841E-08 .2036E-06 .2075E-06
.2950E+03 .5170E+00 .2239E-07 .3420E-06 .3518E-06
.2955E+03 .5832E+00 .8481E-07 .7683E-06 .8053E-06
.2960E+03 .6222E+00 .2099E-06 .1459E-05 .1551E-05
.2965E+03 .4936E+00 .3688E-06 .2045E-05 .2206E-05
.2970E+03 .4249E+00 .5943E-06 .2775E-05 .3035E-05
.2975E+03 .5988E+00 .2013E-05 .7542E-05 .8420E-05
.2980E+03 .5588E+00 .3830E-05 .1218E-04 .1385E-04
.2985E+03 .3795E+00 .4419E-05 .1257E-04 .1449E-04
.2990E+03 .5778E+00 .1101E-04 .2854E-04 .3335E-04
.2995E+03 .5224E+00 .2165E-04 .5046E-04 .5991E-04
.3000E+03 .4174E+00 .2711E-04 .6067E-04 .7249E-04
.3005E+03 .4400E+00 .4252E-04 .9357E-04 .1121E-03
.3010E+03 .4949E+00 .8518E-04 .1942E-03 .2314E-03
.3015E+03 .5305E+00 .1464E-03 .3566E-03 .4205E-03
.3020E+03 .3750E+00 .1306E-03 .2953E-03 .3523E-03
.3025E+03 .5448E+00 .2839E-03 .5698E-03 .6936E-03
.3030E+03 .6780E+00 .5772E-03 .1008E-02 .1260E-02
.3035E+03 .6899E+00 .7796E-03 .1326E-02 .1667E-02
.3040E+03 .5782E+00 .7534E-03 .1261E-02 .1590E-02
.3045E+03 .6494E+00 .1171E-02 .1930E-02 .2441E-02
.3050E+03 .6742E+00 .1852E-02 .3037E-02 .3845E-02
.3055E+03 .6136E+00 .2179E-02 .3574E-02 .4525E-02
.3060E+03 .5433E+00 .2149E-02 .3502E-02 .4440E-02
.3065E+03 .5868E+00 .2725E-02 .4439E-02 .5628E-02
.3070E+03 .6455E+00 .4113E-02 .6837E-02 .8632E-02
.3075E+03 .6528E+00 .5540E-02 .9460E-02 .1188E-01
.3080E+03 .6576E+00 .5937E-02 .1009E-01 .1268E-01
.3085E+03 .6815E+00 .7076E-02 .1319E-01 .1628E-01
