Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.2800E+03 .7607E-01 .1375E-25 .2130E-18 .2130E-18
.2805E+03 .9919E-01 .6381E-24 .1666E-18 .1666E-18
.2810E+03 .1664E+00 .4218E-23 .1677E-18 .1677E-18
.2815E+03 .2337E+00 .1874E-21 .1291E-17 .1291E-17
.2820E+03 .2827E+00 .1938E-20 .6286E-17 .6288E-17
.2825E+03 .3046E+00 .8840E-20 .1813E-16 .1814E-16
.2830E+03 .3325E+00 .4711E-19 .6030E-16 .6033E-16
.2835E+03 .3125E+00 .9715E-19 .9854E-16 .9860E-16
.2840E+03 .3113E+00 .3496E-17 .1375E-14 .1377E-14
.2845E+03 .2438E+00 .1471E-16 .3049E-14 .3058E-14
.2850E+03 .1149E+00 .4164E-16 .5162E-14 .5188E-14
.2855E+03 .1335E+00 .3974E-15 .2788E-13 .2813E-13
.2860E+03 .2915E+00 .2066E-14 .1144E-12 .1157E-12
.2865E+03 .3472E+00 .1414E-13 .4993E-12 .5081E-12
.2870E+03 .3663E+00 .5469E-13 .1387E-11 .1421E-11
.2875E+03 .3667E+00 .2955E-12 .5143E-11 .5328E-11
.2880E+03 .2428E+00 .1650E-11 .1553E-10 .1656E-10
.2885E+03 .3479E+00 .7449E-11 .5706E-10 .6170E-10
.2890E+03 .4073E+00 .2809E-10 .1745E-09 .1920E-09
.2895E+03 .4762E+00 .1194E-09 .5909E-09 .6655E-09
.2900E+03 .5989E+00 .4294E-09 .1760E-08 .2028E-08
.2905E+03 .6263E+00 .1090E-08 .3800E-08 .4480E-08
.2910E+03 .5912E+00 .2978E-08 .8584E-08 .1044E-07
.2915E+03 .5837E+00 .1125E-07 .2707E-07 .3409E-07
.2920E+03 .5554E+00 .3207E-07 .7028E-07 .9028E-07
.2925E+03 .4814E+00 .5195E-07 .1079E-06 .1403E-06
.2930E+03 .5500E+00 .1309E-06 .2575E-06 .3391E-06
.2935E+03 .5585E+00 .3902E-06 .7339E-06 .9773E-06
.2940E+03 .4886E+00 .7139E-06 .1318E-05 .1764E-05
.2945E+03 .5269E+00 .1340E-05 .2208E-05 .3044E-05
.2950E+03 .5003E+00 .2538E-05 .4283E-05 .5866E-05
.2955E+03 .5644E+00 .6719E-05 .9259E-05 .1345E-04
.2960E+03 .6021E+00 .1297E-04 .1728E-04 .2537E-04
.2965E+03 .4776E+00 .1801E-04 .2341E-04 .3464E-04
.2970E+03 .4112E+00 .2411E-04 .3084E-04 .4589E-04
.2975E+03 .5794E+00 .6303E-04 .7996E-04 .1193E-03
.2980E+03 .5407E+00 .9713E-04 .1235E-03 .1841E-03
.2985E+03 .3673E+00 .9583E-04 .1226E-03 .1824E-03
.2990E+03 .5592E+00 .2064E-03 .2673E-03 .3961E-03
.2995E+03 .5055E+00 .3226E-03 .4356E-03 .6369E-03
.3000E+03 .4039E+00 .3538E-03 .4930E-03 .7137E-03
.3005E+03 .4257E+00 .4935E-03 .7125E-03 .1020E-02
.3010E+03 .4789E+00 .8335E-03 .1298E-02 .1818E-02
.3015E+03 .5134E+00 .1246E-02 .2069E-02 .2847E-02
.3020E+03 .3629E+00 .1038E-02 .1671E-02 .2319E-02
.3025E+03 .5272E+00 .2003E-02 .3079E-02 .4328E-02
.3030E+03 .6561E+00 .3523E-02 .5127E-02 .7325E-02
.3035E+03 .6677E+00 .4378E-02 .6321E-02 .9052E-02
.3040E+03 .5596E+00 .4057E-02 .5815E-02 .8345E-02
.3045E+03 .6284E+00 .5731E-02 .8194E-02 .1177E-01
.3050E+03 .6524E+00 .8001E-02 .1150E-01 .1649E-01
.3055E+03 .5938E+00 .8729E-02 .1257E-01 .1801E-01
.3060E+03 .5257E+00 .8340E-02 .1196E-01 .1716E-01
.3065E+03 .5679E+00 .1009E-01 .1445E-01 .2075E-01
.3070E+03 .6246E+00 .1387E-01 .2010E-01 .2876E-01
.3075E+03 .6317E+00 .1717E-01 .2522E-01 .3593E-01
.3080E+03 .6363E+00 .1807E-01 .2642E-01 .3769E-01
.3085E+03 .6595E+00 .2067E-01 .3408E-01 .4697E-01
.3090E+03 .5448E+00 .1847E-01 .2976E-01 .4128E-01
.3095E+03 .4977E+00 .2075E-01 .3203E-01 .4497E-01
.3100E+03 .4507E+00 .2071E-01 .3128E-01 .4420E-01
.3105E+03 .6927E+00 .3357E-01 .4998E-01 .7092E-01
.3110E+03 .7986E+00 .4185E-01 .6127E-01 .8737E-01
.3115E+03 .7411E+00 .4042E-01 .5848E-01 .8370E-01
.3120E+03 .6222E+00 .3938E-01 .5580E-01 .8037E-01
.3125E+03 .6753E+00 .4714E-01 .6589E-01 .9530E-01
.3130E+03 .6894E+00 .5087E-01 .7035E-01 .1021E+00
.3135E+03 .7031E+00 .5032E-01 .6909E-01 .1005E+00
.3140E+03 .7690E+00 .6133E-01 .8325E-01 .1215E+00
.3145E+03 .5747E+00 .5244E-01 .7063E-01 .1033E+00
.3150E+03 .7307E+00 .6888E-01 .9206E-01 .1350E+00
.3155E+03 .6593E+00 .5925E-01 .7840E-01 .1154E+00
.3160E+03 .5022E+00 .5018E-01 .6606E-01 .9736E-01
.3165E+03 .6426E+00 .7014E-01 .9205E-01 .1358E+00
.3170E+03 .7974E+00 .8764E-01 .1140E+00 .1687E+00
.3175E+03 .8530E+00 .9260E-01 .1193E+00 .1771E+00
.3180E+03 .6149E+00 .7097E-01 .9110E-01 .1354E+00
.3185E+03 .6613E+00 .8469E-01 .1091E+00 .1619E+00
