Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.2800E+03 .7861E-01 .3660E-20 .6378E-20 .9291E-20
.2805E+03 .1025E+00 .7884E-19 .1064E-18 .1692E-18
.2810E+03 .1719E+00 .3880E-18 .4661E-18 .7750E-18
.2815E+03 .2414E+00 .8205E-17 .7837E-17 .1437E-16
.2820E+03 .2921E+00 .5350E-16 .4396E-16 .8655E-16
.2825E+03 .3148E+00 .1789E-15 .1315E-15 .2739E-15
.2830E+03 .3435E+00 .6780E-15 .4428E-15 .9824E-15
.2835E+03 .3229E+00 .1181E-14 .7132E-15 .1653E-14
.2840E+03 .3217E+00 .1966E-13 .9612E-14 .2526E-13
.2845E+03 .2519E+00 .5761E-13 .5566E-13 .1015E-12
.2850E+03 .1187E+00 .1109E-12 .1047E-12 .1930E-12
.2855E+03 .1380E+00 .6731E-12 .6252E-12 .1161E-11
.2860E+03 .3012E+00 .2903E-11 .2613E-11 .4924E-11
.2865E+03 .3588E+00 .1365E-10 .1208E-10 .2295E-10
.2870E+03 .3785E+00 .3991E-10 .3457E-10 .6634E-10
.2875E+03 .3789E+00 .1501E-09 .1288E-09 .2483E-09
.2880E+03 .2509E+00 .5298E-09 .3362E-09 .7579E-09
.2885E+03 .3595E+00 .1869E-08 .1193E-08 .2680E-08
.2890E+03 .4209E+00 .5480E-08 .3545E-08 .7906E-08
.2895E+03 .4920E+00 .1765E-07 .1177E-07 .2582E-07
.2900E+03 .6188E+00 .5062E-07 .3453E-07 .7482E-07
.2905E+03 .6471E+00 .1062E-06 .7368E-07 .1582E-06
.2910E+03 .6108E+00 .2308E-06 .1671E-06 .3508E-06
.2915E+03 .6031E+00 .6534E-06 .4265E-06 .9466E-06
.2920E+03 .5739E+00 .1471E-05 .9690E-06 .2140E-05
.2925E+03 .4974E+00 .2082E-05 .1343E-05 .3000E-05
.2930E+03 .5683E+00 .4424E-05 .2837E-05 .6358E-05
.2935E+03 .5771E+00 .1046E-04 .6887E-05 .1521E-04
.2940E+03 .5048E+00 .1633E-04 .1075E-04 .2375E-04
.2945E+03 .5444E+00 .2720E-04 .1983E-04 .4148E-04
.2950E+03 .5170E+00 .4441E-04 .3509E-04 .7043E-04
.2955E+03 .5832E+00 .9785E-04 .5892E-04 .1368E-03
.2960E+03 .6222E+00 .1662E-03 .1035E-03 .2358E-03
.2965E+03 .4935E+00 .2046E-03 .1319E-03 .2948E-03
.2970E+03 .4249E+00 .2491E-03 .1652E-03 .3634E-03
.2975E+03 .5987E+00 .5699E-03 .3961E-03 .8497E-03
.2980E+03 .5587E+00 .7883E-03 .5704E-03 .1198E-02
.2985E+03 .3795E+00 .7176E-03 .5352E-03 .1106E-02
.2990E+03 .5778E+00 .1434E-02 .1102E-02 .2243E-02
.2995E+03 .5224E+00 .1992E-02 .1621E-02 .3206E-02
.3000E+03 .4174E+00 .2040E-02 .1714E-02 .3338E-02
.3005E+03 .4399E+00 .2679E-02 .2318E-02 .4450E-02
.3010E+03 .4948E+00 .4145E-02 .3775E-02 .7074E-02
.3015E+03 .5305E+00 .5768E-02 .5443E-02 .1003E-01
.3020E+03 .3750E+00 .4636E-02 .4305E-02 .7995E-02
.3025E+03 .5447E+00 .8415E-02 .7651E-02 .1435E-01
.3030E+03 .6780E+00 .1374E-01 .1219E-01 .2313E-01
.3035E+03 .6899E+00 .1635E-01 .1446E-01 .2747E-01
.3040E+03 .5782E+00 .1482E-01 .1303E-01 .2483E-01
.3045E+03 .6493E+00 .1992E-01 .1751E-01 .3337E-01
.3050E+03 .6742E+00 .2609E-01 .2305E-01 .4382E-01
.3055E+03 .6135E+00 .2737E-01 .2420E-01 .4599E-01
.3060E+03 .5432E+00 .2572E-01 .2264E-01 .4311E-01
.3065E+03 .5868E+00 .3035E-01 .2668E-01 .5084E-01
.3070E+03 .6454E+00 .3977E-01 .3519E-01 .6684E-01
.3075E+03 .6527E+00 .4712E-01 .4199E-01 .7950E-01
.3080E+03 .6575E+00 .4912E-01 .4355E-01 .8264E-01
.3085E+03 .6815E+00 .5499E-01 .5523E-01 .9899E-01
.3090E+03 .5629E+00 .4828E-01 .4766E-01 .8609E-01
.3095E+03 .5143E+00 .5187E-01 .4962E-01 .9090E-01
.3100E+03 .4657E+00 .5068E-01 .4767E-01 .8801E-01
.3105E+03 .7157E+00 .8121E-01 .7545E-01 .1401E+00
.3110E+03 .8251E+00 .9951E-01 .9121E-01 .1704E+00
.3115E+03 .7657E+00 .9527E-01 .8644E-01 .1623E+00
.3120E+03 .6429E+00 .8987E-01 .8015E-01 .1517E+00
.3125E+03 .6978E+00 .1053E+00 .9278E-01 .1766E+00
.3130E+03 .7123E+00 .1122E+00 .9794E-01 .1873E+00
.3135E+03 .7265E+00 .1117E+00 .9688E-01 .1858E+00
.3140E+03 .7946E+00 .1330E+00 .1140E+00 .2199E+00
.3145E+03 .5938E+00 .1105E+00 .9381E-01 .1817E+00
.3150E+03 .7550E+00 .1440E+00 .1214E+00 .2361E+00
.3155E+03 .6813E+00 .1251E+00 .1047E+00 .2043E+00
.3160E+03 .5190E+00 .1036E+00 .8603E-01 .1685E+00
.3165E+03 .6640E+00 .1420E+00 .1173E+00 .2303E+00
.3170E+03 .8239E+00 .1771E+00 .1451E+00 .2861E+00
.3175E+03 .8814E+00 .1876E+00 .1524E+00 .3017E+00
.3180E+03 .6354E+00 .1418E+00 .1146E+00 .2275E+00
.3185E+03 .6833E+00 .1655E+00 .1334E+00 .2651E+00
.3190E+03 .7544E+00 .1906E+00 .1531E+00 .3048E+00
.3195E+03 .6842E+00 .1644E+00 .1304E+00 .2612E+00
.3200E+03 .8379E+00 .2007E+00 .1579E+00 .3177E+00
.3205E+03 .9093E+00 .2355E+00 .1851E+00 .3726E+00
.3210E+03 .7164E+00 .1980E+00 .1557E+00 .3133E+00
.3215E+03 .6762E+00 .1893E+00 .1480E+00 .2987E+00
.3220E+03 .8161E+00 .2160E+00 .1662E+00 .3381E+00
.3225E+03 .7026E+00 .1877E+00 .1434E+00 .2928E+00
.3230E+03 .6411E+00 .1796E+00 .1370E+00 .2799E+00
.3235E+03 .6842E+00 .2059E+00 .1664E+00 .3303E+00
.3240E+03 .7827E+00 .2392E+00 .1924E+00 .3828E+00
.3245E+03 .8279E+00 .2486E+00 .1973E+00 .3952E+00
.3250E+03 .7855E+00 .2269E+00 .1684E+00 .3490E+00
.3255E+03 .9428E+00 .2825E+00 .2202E+00 .4451E+00
.3260E+03 .1054E+01 .3314E+00 .2595E+00 .5233E+00
.3265E+03 .9987E+00 .3243E+00 .2544E+00 .5125E+00
.3270E+03 .1011E+01 .3273E+00 .2543E+00 .5148E+00
.3275E+03 .9978E+00 .3208E+00 .2466E+00 .5019E+00
.3280E+03 .9547E+00 .2966E+00 .2239E+00 .4599E+00
.3285E+03 .9149E+00 .2995E+00 .2275E+00 .4659E+00
.3290E+03 .1026E+01 .3480E+00 .2655E+00 .5425E+00
.3295E+03 .1141E+01 .3922E+00 .2982E+00 .6104E+00
.3300E+03 .1164E+01 .3998E+00 .3012E+00 .6194E+00
.3305E+03 .9743E+00 .3289E+00 .2439E+00 .5057E+00
.3310E+03 .1007E+01 .3387E+00 .2489E+00 .5185E+00
.3315E+03 .9833E+00 .3386E+00 .2487E+00 .5183E+00
.3320E+03 .1008E+01 .3572E+00 .2631E+00 .5474E+00
.3325E+03 .9739E+00 .3500E+00 .2574E+00 .5360E+00
.3330E+03 .9808E+00 .3523E+00 .2567E+00 .5371E+00
.3335E+03 .9181E+00 .3260E+00 .2342E+00 .4937E+00
.3340E+03 .9435E+00 .3357E+00 .2393E+00 .5065E+00
.3345E+03 .1042E+01 .3796E+00 .2711E+00 .5733E+00
.3350E+03 .9555E+00 .3531E+00 .2518E+00 .5328E+00
.3355E+03 .1074E+01 .4008E+00 .3040E+00 .6230E+00
.3360E+03 .7410E+00 .2778E+00 .2095E+00 .4307E+00
.3365E+03 .9066E+00 .3386E+00 .2363E+00 .5057E+00
.3370E+03 .7540E+00 .2810E+00 .1942E+00 .4178E+00
.3375E+03 .9409E+00 .3513E+00 .2409E+00 .5205E+00
.3380E+03 .8880E+00 .3376E+00 .2316E+00 .5003E+00
.3385E+03 .9922E+00 .3806E+00 .2742E+00 .5771E+00
.3390E+03 .9826E+00 .3793E+00 .2684E+00 .5703E+00
.3395E+03 .9397E+00 .3643E+00 .2585E+00 .5485E+00
.3400E+03 .1135E+01 .4394E+00 .2941E+00 .6439E+00
